year,input_flavor,target,region,sim_id,sim_describe,dropped_simulation_sample_id,dropped_spell_sample_id,country_count,num_countries_meeting_target,pop_total,pop_with_data,pop_sim,wgt_adjpro,wgt_growth_rate,specification,growth_type,preference
2022,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,152505100,122012000,140362900,84.21009826660156,0.7819802165031433,pref1005_p99,r50,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,152505100,122012000,140362900,86.261871337890625,1.0937520265579224,pref1005_p99,r60,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,152505100,122012000,140362900,90.47777557373047,1.7191866636276245,pref1005_p99,r70,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,152505100,122012000,140362900,92.335693359375,2.0058417320251465,pref1005_p99,r80,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,152505100,122012000,140362900,94.80777740478516,2.3974990844726562,pref1005_p99,r90,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,152505100,122012000,140362900,95.9409408569336,2.5801470279693604,pref1005_p99,r95,1005
2022,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,152505100,122012000,140362900,96.93843841552734,3.1202850341796875,pref1005_p99,r99,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,153467300,122892000,141321100,84.92542266845703,0.7819802165031433,pref1005_p99,r50,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,153467300,122892000,141321100,87.26976776123047,1.0937520265579224,pref1005_p99,r60,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,153467300,122892000,141321100,92.10126495361328,1.7209339141845703,pref1005_p99,r70,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,153467300,122892000,141321100,94.18486785888672,2.007089614868164,pref1005_p99,r80,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,153467300,122892000,141321100,96.755218505859375,2.398064613342285,pref1005_p99,r90,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,153467300,122892000,141321100,96.63121032714844,2.5801470279693604,pref1005_p99,r95,1005
2023,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,153467300,122892000,141321100,97.61820220947266,3.1202850341796875,pref1005_p99,r99,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,154176900,123576000,142048000,85.64177703857422,0.7819802165031433,pref1005_p99,r50,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,154176900,123576000,142048000,88.27849578857422,1.0937520265579224,pref1005_p99,r60,1005
