countrycode,year,test,idgrade,subject,nonprof_all,se_nonprof_all,nonprof_ma,se_nonprof_ma,nonprof_fe,se_nonprof_fe
CZE,2011,TIMSS,4,science,3.4956813,0.69423389,3.1730354,0.70201933,3.8389504,0.96562833
CZE,2015,TIMSS,4,math,3.9297938,0.50348359,3.669703,0.58743566,4.1967154,0.63682699
CZE,2015,TIMSS,4,science,3.5195827,0.55463016,3.3158779,0.56616122,3.7286401,0.70636302
CZE,2016,PIRLS,4,read,2.9605269,0.50483227,3.8604975,0.65036011,2.0282984,0.48253885
DEU,2001,PIRLS,4,read,2.9658079,0.37882036,3.3596516,0.56419307,2.5685549,0.44243276
DEU,2006,PIRLS,4,read,2.5919139,0.2625764,2.9349208,0.51142031,2.234751,0.34206986
DEU,2007,TIMSS,4,math,4.0521383,0.51094162,3.4668982,0.59163702,4.6600876,0.67551112
DEU,2007,TIMSS,4,science,5.810338,0.6103791,5.2439156,0.63834727,6.3987436,0.85763633
DEU,2011,PIRLS,4,read,2.3894072,0.34824276,2.7957559,0.56306565,1.971364,0.45972824
DEU,2011,TIMSS,4,math,2.7480364,0.57721359,2.4097562,0.56267267,3.0964017,0.82968211
DEU,2011,TIMSS,4,science,4.2903662,0.65727168,3.8845062,0.69966996,4.7083259,0.98896784
DEU,2015,TIMSS,4,math,3.6922097,0.56661826,3.8428843,0.60793751,3.5295963,0.87308884
DEU,2015,TIMSS,4,science,3.9718211,0.5690437,3.9458156,0.66082782,3.9998889,0.65276027
DEU,2016,PIRLS,4,read,5.4925561,0.91630173,6.5240917,1.3055249,4.4245539,0.8908788
DNK,2006,PIRLS,4,read,3.4869134,0.44103959,4.2330446,0.71050769,2.7873099,0.50595999
DNK,2007,TIMSS,4,math,4.6738505,0.76938581,5.1084995,0.97083664,4.2581854,0.84029752
DNK,2007,TIMSS,4,science,7.0845785,0.82864833,7.5095534,1.1729001,6.6781578,1.0942608
DNK,2011,PIRLS,4,read,1.4267802,0.21996096,1.6681314,0.37661621,1.1899829,0.30372426
DNK,2011,TIMSS,4,math,3.4074843,0.55431122,3.3784986,0.71208882,3.4351468,0.61691672
DNK,2011,TIMSS,4,science,4.8393846,0.70966876,5.1012635,0.91903192,4.5895281,0.75614339
DNK,2015,TIMSS,4,math,4.0880919,0.64475524,4.0540338,0.91920102,4.123044,0.80376834
DNK,2015,TIMSS,4,science,4.2105379,0.53701687,4.5400023,0.70972496,3.8723886,0.72194237
DNK,2016,PIRLS,3,read,11.819988,0.87313324,13.790607,1.0748776,9.8819494,1.0576172
DNK,2016,PIRLS,4,read,2.6210546,0.40861928,2.8600514,0.62710011,2.3911417,0.49161655
DOM,2006,LLECE,6,read,89.417336,0.46539035,90.959106,0.64609402,87.78138,0.71095091
DOM,2013,LLECE,6,read,79.381966,0.78514934,80.609627,1.0973601,78.122993,1.1235025
DZA,2007,TIMSS,4,math,59.065132,2.234638,60.053146,2.0998881,58.064732,2.8048759
DZA,2007,TIMSS,4,science,66.52803,2.0792232,68.446373,2.1249931,64.585632,2.593668
ECU,2006,LLECE,6,read,77.639915,0.58372343,79.053574,0.81320226,76.42791,0.87278944
ECU,2013,LLECE,6,read,62.068684,0.79087967,62.174427,1.0806098,62.053181,1.162975
EGY,2016,PIRLS,4,read,69.155106,1.7668108,73.60952,1.9039412,64.601532,1.8867943
ESP,2006,PIRLS,4,read,6.4623952,0.83914471,6.6658916,1.0711429,6.254065,0.9830122
ESP,2011,PIRLS,4,read,6.1280847,0.69463515,7.0787907,1.1746172,5.1544247,0.61746079
ESP,2011,TIMSS,4,math,12.708902,1.3040901,11.832404,1.5689495,13.61937,1.4735527
ESP,2011,TIMSS,4,science,8.45294,1.1596133,7.8647556,1.177838,9.0639172,1.3346075
ESP,2015,TIMSS,4,math,7.0198593,0.87480474,6.8492889,0.99785477,7.1951985,1.1516693
ESP,2015,TIMSS,4,science,5.201417,0.68644059,5.4427266,0.81427062,4.9533663,0.8378588
ESP,2016,PIRLS,4,read,3.431344,0.49629551,4.3945255,0.87470311,2.4438381,0.3892706
ESP,2021,PIRLS,4,read,4.76939,0.0051405,4.45235,0.0067716,4.04218,0.0064489
FIN,2011,PIRLS,4,read,0.79878569,0.2001375,1.084429,0.33230689,0.50019622,0.19822688
FIN,2011,TIMSS,4,math,2.0760715,0.42004585,2.3910284,0.60590887,1.744169,0.42810422
FIN,2011,TIMSS,4,science,1.2376726,0.31424659,1.3541937,0.41498467,1.114881,0.379269
FIN,2015,TIMSS,4,math,2.6628017,0.41589466,3.3640206,0.61687541,1.9076407,0.42197314
FIN,2015,TIMSS,4,science,1.4970958,0.38992715,1.8927515,0.59570509,1.0710001,0.28855264
FIN,2016,PIRLS,4,read,1.7100692,0.29318789,2.3466051,0.52474904,1.0716259,0.29770705
FRA,2001,PIRLS,4,read,4.6359596,0.64543539,5.8537779,0.88398111,3.3413708,0.6830135
FRA,2006,PIRLS,4,read,4.0925798,0.42905742,5.0575137,0.60058939,3.0663729,0.44685853
FRA,2011,PIRLS,4,read,4.7308865,0.77723807,4.6420932,0.72597766,4.8217831,0.97699666
FRA,2015,TIMSS,4,math,12.501186,0.98431802,11.904454,1.0300738,13.12533,1.3949523
FRA,2015,TIMSS,4,science,12.192451,1.0387965,12.78767,1.2280244,11.569881,1.3543863
FRA,2016,PIRLS,4,read,6.2845764,0.49711183,7.2820187,0.69898474,5.2986622,0.69623154
GBR,2001,PIRLS,5,read,5.711132,0.62711519,7.2862682,0.87271053,4.236865,0.74345946
GBR,2003,TIMSS,4,math,7.920331,0.73761398,8.3449068,0.99877614,7.4912548,0.90119112
GBR,2003,TIMSS,4,science,5.9597015,0.62254953,6.6847086,0.89684373,5.2270231,0.66374636
GBR,2006,PIRLS,4,read,6.7622004,0.59902871,7.717103,0.71941817,5.7959261,0.68913835
GBR,2007,TIMSS,4,math,6.36726,0.59301388,7.1777878,0.83383173,5.5227399,0.61160582
GBR,2007,TIMSS,4,science,5.208272,0.55644,6.0914574,0.7861076,4.2880535,0.51338065
GBR,2011,PIRLS,4,read,3.2437325,0.59564435,3.796953,0.97221518,2.6816189,0.6044113
GBR,2011,PIRLS,5,read,4.6339455,0.53728783,6.1062393,0.68860549,3.1097651,0.64917547
GBR,2011,TIMSS,4,math,4.0750685,0.50082046,4.8452616,0.86213166,3.284806,0.53814906
GBR,2011,TIMSS,4,science,6.1889529,0.96495479,6.7634583,0.99691617,5.5994692,1.2170453
GBR,2011,TIMSS,5,math,6.6532793,0.69909561,7.3664007,0.73905832,5.8952212,1.0323105
GBR,2011,TIMSS,5,science,6.8092766,0.70172834,7.8809142,0.98796439,5.6701126,0.89935762
GBR,2015,TIMSS,4,math,4.2443218,0.6204645,4.537982,0.68192238,3.9607108,0.78743219
GBR,2015,TIMSS,4,science,3.1321883,0.42720816,3.4817696,0.55999255,2.7945817,0.51297444
GBR,2016,PIRLS,4,read,3.1756341,0.33946967,3.8290858,0.48129898,2.5315464,0.38482594
GBR,2021,PIRLS,4,read,2.96894,0.0042999,3.76661,0.0070101,2.21858,0.004128
GEO,2006,PIRLS,4,read,17.977888,1.3104683,21.12376,1.6429163,14.568299,1.4011302
GEO,2007,TIMSS,4,math,33.171272,1.9856182,34.779751,2.1807234,31.350458,2.2420442
GEO,2007,TIMSS,4,science,41.13419,2.1309404,43.994606,2.3279946,37.896175,2.6196201
GEO,2011,PIRLS,4,read,13.514507,1.3965394,16.62833,1.8377519,10.119456,1.2017524
GEO,2011,TIMSS,4,math,27.561497,1.6763797,29.468065,2.1748691,25.482105,1.5623674
GEO,2011,TIMSS,4,science,24.815351,1.629626,27.436054,2.0011513,21.957088,1.6807076
GEO,2015,TIMSS,4,math,22.444117,1.6044514,23.787224,1.9790554,21.022106,1.6370276
GEO,2015,TIMSS,4,science,25.956266,1.705677,27.183891,2.1140785,24.656523,1.820312
GEO,2016,PIRLS,4,read,13.523626,1.1186023,16.703939,1.5544558,10.262484,1.1079484
GRC,2001,PIRLS,4,read,5.4929552,0.79732865,7.9868793,1.170063,2.9588342,0.78165799
GTM,2006,LLECE,6,read,79.278381,0.5644595,78.503471,0.81478089,79.42202,0.81310683
GTM,2013,LLECE,6,read,63.624409,0.86168498,62.725727,1.2062005,64.502678,1.2322136
HKG,2001,PIRLS,4,read,3.3758163,0.57945341,4.9082699,0.75971305,1.9502997,0.52472961
HKG,2003,TIMSS,4,math,0.66483617,0.16452169,0.89374781,0.25530091,0.40778518,0.19416614
HKG,2003,TIMSS,4,science,1.7436624,0.34731057,2.3034096,0.54554147,1.1150837,0.26708075
HKG,2006,PIRLS,4,read,0.85384846,0.20422356,1.239711,0.32898948,0.44769645,0.18673775
HKG,2007,TIMSS,4,math,0.35209656,0.12221086,0.56432486,0.21239167,0.12845993,0.11419583
HKG,2007,TIMSS,4,science,2.0100832,0.44967598,2.5168836,0.73908144,1.4760435,0.38289437
HKG,2011,PIRLS,4,read,0.81492066,0.23085384,1.1474907,0.40415788,0.42148232,0.24261542
HKG,2011,TIMSS,4,math,0.78421235,0.51869822,0.99044442,0.65486211,0.54018497,0.39097211
HKG,2011,TIMSS,4,science,4.4680176,1.1965348,4.9677191,1.2873528,3.8767278,1.2207974
HKG,2015,TIMSS,4,math,0.22522211,0.16069579,0.15869737,0.12874813,0.30409694,0.28263846
HKG,2015,TIMSS,4,science,1.9124806,0.37958372,1.7026484,0.41940165,2.1612942,0.59044009
HKG,2016,PIRLS,4,read,1.403904,0.33834988,1.9835949,0.51649725,0.79624653,0.42281413
HND,2011,PIRLS,6,read,26.488459,2.3071525,29.584616,2.6048069,23.556482,2.6182482
HND,2011,TIMSS,6,math,50.886734,2.4892027,48.291428,2.5380442,53.337173,2.9660141
HND,2011,TIMSS,6,science,34.583271,2.6925623,33.395542,2.9110322,35.704697,3.0184546
HND,2013,LLECE,6,read,69.443695,0.84256583,71.075272,1.1718796,67.247421,1.2186809
HRV,2011,PIRLS,4,read,1.0005653,0.24353915,1.4255345,0.41676116,0.56732893,0.2267604
HRV,2011,TIMSS,4,math,9.5108624,0.92968297,9.3320131,1.083341,9.692502,1.3101022
HRV,2011,TIMSS,4,science,3.6419868,0.53544438,3.8995802,0.74877387,3.3803761,0.60413247
HRV,2015,TIMSS,4,math,6.7512631,0.64047021,6.229496,0.96726137,7.2977304,0.7379697
HRV,2015,TIMSS,4,science,2.2266388,0.3421379,2.2818923,0.50391352,2.1687686,0.46433714
HUN,2001,PIRLS,4,read,2.4528563,0.34572628,3.4926951,0.5525912,1.4580429,0.28870639
HUN,2003,TIMSS,4,math,5.8348122,0.76115674,5.6999922,0.79836994,5.9717298,1.0282025
HUN,2003,TIMSS,4,science,5.9711637,0.72467506,5.7987452,0.72826076,6.1462641,1.0263268
HUN,2006,PIRLS,4,read,2.5682688,0.48950776,2.839011,0.70301217,2.3008049,0.52671492
HUN,2007,TIMSS,4,math,11.770916,1.1656874,11.847502,1.1642185,11.696142,1.4743253
HUN,2007,TIMSS,4,science,6.5848351,0.81671226,7.5263557,1.0113838,5.6656418,1.0846078
HUN,2011,PIRLS,4,read,5.3590002,0.7047056,6.4678726,0.91680002,4.2152643,0.79948324
HUN,2011,TIMSS,4,math,10.477614,0.97722381,11.205411,1.2296228,9.7240334,1.0364339
HUN,2011,TIMSS,4,science,7.3789778,0.93625402,7.8772306,1.0714536,6.8630753,1.1794778
HUN,2015,TIMSS,4,math,8.2474594,0.89966041,8.1900835,1.1093507,8.3063011,0.9262085
HUN,2015,TIMSS,4,science,5.5841265,0.83072686,5.4653525,0.94522208,5.7059169,0.97065085
HUN,2016,PIRLS,4,read,2.8618932,0.43915296,3.4542024,0.71214193,2.2550642,0.48109725
IDN,2006,PIRLS,4,read,46.022923,2.1321025,51.083282,2.4346118,40.77092,2.3604429
IDN,2011,PIRLS,4,read,33.772896,2.2101586,38.566917,2.5368099,29.110914,2.1958902
IDN,2015,TIMSS,4,math,49.620022,1.8307766,52.609993,1.8134422,46.367352,2.2199283
IDN,2015,TIMSS,4,science,49.367245,2.0742445,51.778194,2.132005,46.75626,2.5142155
IRL,2011,PIRLS,4,read,3.3127308,0.53689253,4.100287,1.040133,2.4999201,0.86676896
IRL,2011,TIMSS,4,math,6.0542402,0.63500047,6.9722056,0.89994979,5.1165223,0.77225912
IRL,2011,TIMSS,4,science,7.8306437,0.88250268,8.5828485,1.3400961,7.0622563,1.3954335
IRL,2015,TIMSS,4,math,3.0366063,0.31685716,3.0486047,0.43075654,3.0232251,0.52877808
IRL,2015,TIMSS,4,science,4.4078708,0.57977545,4.6144667,0.78535557,4.1774511,0.62586206
IRL,2016,PIRLS,4,read,2.3149967,0.35742602,2.6104808,0.53766209,2.0194054,0.42859316
IRN,2001,PIRLS,4,read,43.80278,1.9520648,50.817348,2.8275821,37.972225,2.4991329
IRN,2003,TIMSS,4,math,54.517441,2.1715856,55.951244,2.6464632,52.280041,3.5668156
IRN,2003,TIMSS,4,science,42.400223,1.7299132,45.491566,2.1237593,37.576294,2.9850252
IRN,2006,PIRLS,4,read,40.164684,1.5628639,42.381084,2.1872509,37.604343,2.5156198
IRN,2007,TIMSS,4,math,47.309261,1.9797276,51.189526,2.5728524,43.254642,2.7352695
IRN,2007,TIMSS,4,science,34.69677,1.8738942,38.188244,2.4822614,31.04841,2.5043271
IRN,2011,PIRLS,4,read,24.25639,1.1422924,28.119267,1.640697,20.271374,1.6256174
IRN,2011,TIMSS,4,math,35.593422,1.4921812,36.181305,2.1710157,34.987293,2.4615281
IRN,2011,TIMSS,4,science,27.892839,1.5283537,28.29442,2.0479503,27.478796,2.4004996
IRN,2015,TIMSS,4,math,34.828621,1.3230824,37.86961,1.9480857,31.734341,1.9979397
IRN,2015,TIMSS,4,science,38.567787,1.6644629,41.417778,2.2929494,35.626305,2.3114772
IRN,2016,PIRLS,4,read,35.096584,1.5627755,43.569618,1.9007657,25.36459,1.9920684
ISL,2001,PIRLS,4,read,7.864666,0.57692158,10.289234,1.0133485,5.3928137,0.43234351
ISL,2006,PIRLS,4,read,6.8288565,0.75242341,9.1796761,0.85112238,4.4687986,0.97434556
ISL,2006,PIRLS,5,read,1.6981602,0.69528258,2.2958636,1.0670443,1.0948181,0.7475518
ISR,2001,PIRLS,4,read,13.385272,0.96256781,16.060781,1.3175206,10.7575,1.0368346
ISR,2006,PIRLS,4,read,14.513456,1.2177409,16.321606,1.3910264,12.577194,1.4022117
ISR,2011,PIRLS,4,read,6.8354964,0.82222807,8.1568899,1.0329859,5.5418968,0.90817064
ISR,2016,PIRLS,4,read,8.977294,0.7596336,11.382568,1.1100333,6.633955,0.88173038
ITA,2001,PIRLS,4,read,3.4432828,0.56760406,3.5933435,0.74322468,3.2799184,0.65512413
ITA,2003,TIMSS,4,math,11.126375,1.0626999,11.180669,1.0956215,11.068159,1.2608644
ITA,2003,TIMSS,4,science,9.1937962,0.93936706,9.1388521,1.1520715,9.2527208,1.0514134
ITA,2006,PIRLS,4,read,1.8067241,0.40960088,2.163589,0.56273073,1.4268279,0.44618478
ITA,2007,TIMSS,4,math,8.8620005,1.0320777,7.8126907,1.0436761,9.9589291,1.2073097
ITA,2007,TIMSS,4,science,5.531806,0.71229261,5.0229549,0.83731043,6.0637474,0.79795307
ITA,2011,PIRLS,4,read,2.3352265,0.43588075,2.7013302,0.55579215,1.9692481,0.50480568
ITA,2011,TIMSS,4,math,7.2458029,0.8027159,6.6832485,0.87888485,7.8074694,0.9478991
ITA,2011,TIMSS,4,science,5.2920222,0.95672381,5.0898132,1.0265107,5.4939151,1.0981904
ITA,2015,TIMSS,4,math,7.4798465,0.81553507,6.2222185,0.91786098,8.797163,1.0478491
ITA,2015,TIMSS,4,science,5.2100539,0.67612416,4.6351376,0.83934933,5.8122578,0.77523762
ITA,2016,PIRLS,4,read,2.1392047,0.40959898,2.968961,0.57052594,1.267004,0.38389125
ITA,2021,PIRLS,4,read,2.81734,0.0037254,3.05916,0.0052108,2.57037,0.0039781
JOR,2015,TIMSS,4,math,50.021748,1.2261858,52.848938,1.837743,46.732872,1.5437256
JPN,2003,TIMSS,4,math,2.0015299,0.33277673,2.7155995,0.42676386,1.2539804,0.35094741
JPN,2003,TIMSS,4,science,3.6520302,0.37296286,4.2222261,0.50286227,3.0551016,0.39225641
JPN,2007,TIMSS,4,math,2.1694183,0.42780495,2.7352095,0.54349399,1.5783429,0.47116908
JPN,2007,TIMSS,4,science,2.7079105,0.41244435,3.1091213,0.57115209,2.2887766,0.53760028
JPN,2011,TIMSS,4,math,0.97445846,0.19037314,1.2488782,0.36674988,0.6919682,0.235552
JPN,2011,TIMSS,4,science,1.2808323,0.23454966,1.5536129,0.48395148,1.0000288,0.33242762
JPN,2015,TIMSS,4,math,0.54149032,0.13046156,0.74061751,0.20768353,0.34202933,0.18872456
JPN,2015,TIMSS,4,science,1.0091722,0.23044138,1.1956751,0.35900077,0.82235932,0.31006247
KAZ,2007,TIMSS,4,math,5.0108314,1.450737,5.6760788,1.5439062,4.3764472,1.6862319
KAZ,2007,TIMSS,4,science,4.8462811,1.0228112,4.734725,1.3057556,4.9526572,1.0905786
KAZ,2011,TIMSS,4,math,11.96841,1.2172103,12.776434,1.4446126,11.103785,1.3364689
KAZ,2011,TIMSS,4,science,15.613026,1.6141447,16.222418,1.6854156,14.960945,1.7507768
