countrycode,year,uis_ceage_1,se_prm_durs
ARE,2043,,
ARE,2044,,
ARE,2045,,
ARE,2046,,
ARE,2047,,
ARE,2048,,
ARE,2049,,
ARE,2050,,
ARE,2055,,
ARE,2060,,
ARE,2065,,
ARE,2070,,
ARE,2075,,
ARE,2080,,
ARE,2085,,
ARE,2090,,
ARE,2095,,
ARE,2100,,
ARG,1990,,7
ARG,1991,,7
ARG,1992,,7
ARG,1993,,7
ARG,1994,,7
ARG,1995,,7
ARG,1996,,7
ARG,1997,,7
ARG,1998,5,6
ARG,1999,5,6
ARG,2000,5,6
ARG,2001,5,6
ARG,2002,5,6
ARG,2003,5,6
ARG,2004,5,6
ARG,2005,5,6
ARG,2006,5,6
ARG,2007,5,6
ARG,2008,5,6
ARG,2009,5,6
ARG,2010,5,6
ARG,2011,5,6
ARG,2012,5,6
ARG,2013,5,6
ARG,2014,5,6
ARG,2015,4,6
ARG,2016,4,6
ARG,2017,4,6
ARG,2018,4,6
ARG,2019,4,6
ARG,2020,,6
ARG,2021,,6
ARG,2022,,6
ARG,2023,,
ARG,2024,,
ARG,2025,,
ARG,2026,,
ARG,2027,,
ARG,2028,,
ARG,2029,,
ARG,2030,,
ARG,2031,,
ARG,2032,,
ARG,2033,,
ARG,2034,,
ARG,2035,,
ARG,2036,,
ARG,2037,,
ARG,2038,,
ARG,2039,,
ARG,2040,,
ARG,2041,,
ARG,2042,,
ARG,2043,,
ARG,2044,,
ARG,2045,,
ARG,2046,,
ARG,2047,,
ARG,2048,,
ARG,2049,,
ARG,2050,,
ARG,2055,,
ARG,2060,,
ARG,2065,,
ARG,2070,,
ARG,2075,,
ARG,2080,,
ARG,2085,,
ARG,2090,,
ARG,2095,,
ARG,2100,,
ARM,1990,,3
ARM,1991,,3
ARM,1992,,3
ARM,1993,,3
ARM,1994,,4
ARM,1995,,4
ARM,1996,,4
ARM,1997,,3
ARM,1998,,3
ARM,1999,7,3
ARM,2000,7,3
ARM,2001,7,3
ARM,2002,7,3
ARM,2003,7,3
ARM,2004,7,3
ARM,2005,7,3
ARM,2006,7,3
ARM,2007,7,3
ARM,2008,7,3
ARM,2009,7,3
ARM,2010,7,3
ARM,2011,6,4
ARM,2012,6,4
ARM,2013,6,4
ARM,2014,6,4
ARM,2015,6,4
ARM,2016,6,4
ARM,2017,6,4
ARM,2018,6,4
ARM,2019,6,4
ARM,2020,6,4
ARM,2021,,4
ARM,2022,,4
ARM,2023,,
ARM,2024,,
ARM,2025,,
ARM,2026,,
ARM,2027,,
ARM,2028,,
ARM,2029,,
ARM,2030,,
ARM,2031,,
ARM,2032,,
ARM,2033,,
ARM,2034,,
ARM,2035,,
ARM,2036,,
ARM,2037,,
ARM,2038,,
ARM,2039,,
ARM,2040,,
ARM,2041,,
ARM,2042,,
ARM,2043,,
ARM,2044,,
ARM,2045,,
ARM,2046,,
ARM,2047,,
ARM,2048,,
ARM,2049,,
ARM,2050,,
ARM,2055,,
ARM,2060,,
ARM,2065,,
ARM,2070,,
ARM,2075,,
ARM,2080,,
ARM,2085,,
ARM,2090,,
ARM,2095,,
ARM,2100,,
ASM,1990,,8
ASM,1991,,8
ASM,1992,,8
ASM,1993,,8
ASM,1994,,8
ASM,1995,,8
ASM,1996,,8
ASM,1997,,8
ASM,1998,,6
ASM,1999,,6
ASM,2000,,6
ASM,2001,,6
ASM,2002,,6
ASM,2003,,6
ASM,2004,,6
ASM,2005,,6
ASM,2006,,6
ASM,2007,,6
ASM,2008,,6
ASM,2009,,6
ASM,2010,,6
ASM,2011,,6
ASM,2012,,6
ASM,2013,,6
ASM,2014,,6
ASM,2015,,6
ASM,2016,,6
ASM,2017,,6
ASM,2018,,6
ASM,2019,,6
ASM,2020,,6
ASM,2021,,6
ASM,2022,,6
ASM,2023,,
ASM,2024,,
ASM,2025,,
ASM,2026,,
ASM,2027,,
ASM,2028,,
ASM,2029,,
ASM,2030,,
ASM,2031,,
ASM,2032,,
ASM,2033,,
ASM,2034,,
ASM,2035,,
ASM,2036,,
ASM,2037,,
ASM,2038,,
ASM,2039,,
ASM,2040,,
ASM,2041,,
ASM,2042,,
ASM,2043,,
ASM,2044,,
ASM,2045,,
ASM,2046,,
ASM,2047,,
ASM,2048,,
ASM,2049,,
ASM,2050,,
ASM,2055,,
ASM,2060,,
ASM,2065,,
ASM,2070,,
ASM,2075,,
ASM,2080,,
ASM,2085,,
ASM,2090,,
ASM,2095,,
ASM,2100,,
ATG,1990,,7
ATG,1991,,7
ATG,1992,,7
ATG,1993,,7
ATG,1994,,7
ATG,1995,,7
ATG,1996,,7
ATG,1997,,7
ATG,1998,5,7
ATG,1999,5,7
ATG,2000,5,7
ATG,2001,5,7
ATG,2002,5,7
ATG,2003,5,7
ATG,2004,5,7
ATG,2005,5,7
ATG,2006,5,7
ATG,2007,5,7
ATG,2008,5,7
ATG,2009,5,7
ATG,2010,5,7
ATG,2011,5,7
ATG,2012,5,7
ATG,2013,5,7
ATG,2014,5,7
ATG,2015,5,7
ATG,2016,5,7
ATG,2017,5,7
ATG,2018,5,7
ATG,2019,5,7
ATG,2020,,7
ATG,2021,,7
ATG,2022,,7
ATG,2023,,
ATG,2024,,
ATG,2025,,
ATG,2026,,
ATG,2027,,
ATG,2028,,
ATG,2029,,
ATG,2030,,
ATG,2031,,
ATG,2032,,
ATG,2033,,
ATG,2034,,
ATG,2035,,
ATG,2036,,
ATG,2037,,
ATG,2038,,
ATG,2039,,
ATG,2040,,
ATG,2041,,
ATG,2042,,
ATG,2043,,
ATG,2044,,
ATG,2045,,
ATG,2046,,
ATG,2047,,
ATG,2048,,
ATG,2049,,
ATG,2050,,
ATG,2055,,
ATG,2060,,
ATG,2065,,
ATG,2070,,
ATG,2075,,
ATG,2080,,
ATG,2085,,
ATG,2090,,
ATG,2095,,
ATG,2100,,
AUS,1990,,6
AUS,1991,,6
AUS,1992,,6
AUS,1993,,6
AUS,1994,,6
AUS,1995,,7
AUS,1996,,7
AUS,1997,,7
AUS,1998,6,7
AUS,1999,6,7
AUS,2000,6,7
AUS,2001,6,7
AUS,2002,6,7
AUS,2003,6,7
AUS,2004,6,7
AUS,2005,6,7
AUS,2006,6,7
AUS,2007,6,7
AUS,2008,6,7
AUS,2009,6,7
AUS,2010,6,7
AUS,2011,6,7
AUS,2012,6,7
AUS,2013,6,7
AUS,2014,6,7
AUS,2015,6,7
AUS,2016,6,7
AUS,2017,6,7
AUS,2018,6,7
AUS,2019,6,7
AUS,2020,,7
AUS,2021,,7
AUS,2022,,7
AUS,2023,,
AUS,2024,,
AUS,2025,,
AUS,2026,,
AUS,2027,,
AUS,2028,,
AUS,2029,,
AUS,2030,,
AUS,2031,,
AUS,2032,,
AUS,2033,,
AUS,2034,,
AUS,2035,,
AUS,2036,,
AUS,2037,,
AUS,2038,,
AUS,2039,,
AUS,2040,,
AUS,2041,,
AUS,2042,,
AUS,2043,,
AUS,2044,,
AUS,2045,,
AUS,2046,,
AUS,2047,,
AUS,2048,,
AUS,2049,,
AUS,2050,,
AUS,2055,,
AUS,2060,,
AUS,2065,,
AUS,2070,,
AUS,2075,,
AUS,2080,,
AUS,2085,,
AUS,2090,,
AUS,2095,,
AUS,2100,,
AUT,1990,,4
AUT,1991,,4
AUT,1992,,4
AUT,1993,,4
AUT,1994,,4
AUT,1995,,4
AUT,1996,,4
AUT,1997,,4
AUT,1998,6,4
AUT,1999,6,4
AUT,2000,6,4
AUT,2001,6,4
AUT,2002,6,4
AUT,2003,6,4
AUT,2004,6,4
AUT,2005,6,4
AUT,2006,6,4
AUT,2007,6,4
AUT,2008,6,4
AUT,2009,6,4
AUT,2010,6,4
AUT,2011,5,4
AUT,2012,5,4
AUT,2013,5,4
AUT,2014,5,4
AUT,2015,5,4
AUT,2016,5,4
AUT,2017,5,4
AUT,2018,5,4
AUT,2019,5,4
AUT,2020,5,4
AUT,2021,,4
AUT,2022,,4
AUT,2023,,
AUT,2024,,
AUT,2025,,
AUT,2026,,
AUT,2027,,
AUT,2028,,
AUT,2029,,
AUT,2030,,
AUT,2031,,
AUT,2032,,
AUT,2033,,
AUT,2034,,
AUT,2035,,
AUT,2036,,
AUT,2037,,
AUT,2038,,
AUT,2039,,
AUT,2040,,
AUT,2041,,
AUT,2042,,
AUT,2043,,
AUT,2044,,
AUT,2045,,
AUT,2046,,
AUT,2047,,
AUT,2048,,
AUT,2049,,
AUT,2050,,
AUT,2055,,
AUT,2060,,
AUT,2065,,
AUT,2070,,
AUT,2075,,
AUT,2080,,
AUT,2085,,
AUT,2090,,
AUT,2095,,
AUT,2100,,
AZE,1990,,3
AZE,1991,,3
AZE,1992,,3
AZE,1993,,3
AZE,1994,,3
AZE,1995,,3
AZE,1996,,4
AZE,1997,,4
AZE,1998,6,4
AZE,1999,6,4
AZE,2000,6,4
AZE,2001,6,4
AZE,2002,6,4
AZE,2003,6,4
AZE,2004,6,4
AZE,2005,6,4
AZE,2006,6,4
AZE,2007,6,4
AZE,2008,6,4
AZE,2009,6,4
AZE,2010,6,4
AZE,2011,6,4
AZE,2012,6,4
AZE,2013,5,4
AZE,2014,5,4
AZE,2015,5,4
AZE,2016,5,4
AZE,2017,5,4
AZE,2018,5,4
AZE,2019,5,4
AZE,2020,5,4
AZE,2021,,4
AZE,2022,,4
AZE,2023,,
AZE,2024,,
AZE,2025,,
AZE,2026,,
AZE,2027,,
AZE,2028,,
AZE,2029,,
AZE,2030,,
AZE,2031,,
AZE,2032,,
AZE,2033,,
AZE,2034,,
AZE,2035,,
AZE,2036,,
AZE,2037,,
AZE,2038,,
AZE,2039,,
AZE,2040,,
AZE,2041,,
AZE,2042,,
AZE,2043,,
AZE,2044,,
AZE,2045,,
AZE,2046,,
AZE,2047,,
AZE,2048,,
AZE,2049,,
AZE,2050,,
AZE,2055,,
AZE,2060,,
AZE,2065,,
AZE,2070,,
AZE,2075,,
AZE,2080,,
AZE,2085,,
AZE,2090,,
AZE,2095,,
AZE,2100,,
BDI,1990,,6
BDI,1991,,6
BDI,1992,,6
BDI,1993,,6
BDI,1994,,6
BDI,1995,,6
BDI,1996,,6
BDI,1997,,6
BDI,1998,,6
BDI,1999,,6
BDI,2000,,6
BDI,2001,,6
BDI,2002,,6
BDI,2003,,6
BDI,2004,,6
BDI,2005,,6
BDI,2006,,6
BDI,2007,,6
BDI,2008,,6
BDI,2009,,6
BDI,2010,,6
BDI,2011,,6
BDI,2012,,6
BDI,2013,,6
BDI,2014,,6
BDI,2015,,6
BDI,2016,,6
BDI,2017,,6
BDI,2018,,6
BDI,2019,,6
BDI,2020,,6
BDI,2021,,6
BDI,2022,,6
BDI,2023,,
BDI,2024,,
BDI,2025,,
BDI,2026,,
BDI,2027,,
BDI,2028,,
BDI,2029,,
BDI,2030,,
BDI,2031,,
BDI,2032,,
BDI,2033,,
BDI,2034,,
BDI,2035,,
BDI,2036,,
BDI,2037,,
BDI,2038,,
BDI,2039,,
BDI,2040,,
BDI,2041,,
BDI,2042,,
BDI,2043,,
BDI,2044,,
BDI,2045,,
BDI,2046,,
BDI,2047,,
BDI,2048,,
BDI,2049,,
BDI,2050,,
BDI,2055,,
BDI,2060,,
BDI,2065,,
BDI,2070,,
BDI,2075,,
BDI,2080,,
BDI,2085,,
BDI,2090,,
BDI,2095,,
BDI,2100,,
BEL,1990,,6
BEL,1991,,6
BEL,1992,,6
BEL,1993,,6
BEL,1994,,6
BEL,1995,,6
BEL,1996,,6
BEL,1997,,6
BEL,1998,6,6
BEL,1999,6,6
BEL,2000,6,6
BEL,2001,6,6
BEL,2002,6,6
BEL,2003,6,6
BEL,2004,6,6
BEL,2005,6,6
BEL,2006,6,6
BEL,2007,6,6
BEL,2008,6,6
BEL,2009,6,6
BEL,2010,6,6
BEL,2011,6,6
BEL,2012,6,6
BEL,2013,6,6
BEL,2014,6,6
BEL,2015,6,6
BEL,2016,6,6
BEL,2017,6,6
BEL,2018,6,6
BEL,2019,6,6
BEL,2020,6,6
BEL,2021,,6
BEL,2022,,6
BEL,2023,,
BEL,2024,,
BEL,2025,,
BEL,2026,,
BEL,2027,,
BEL,2028,,
BEL,2029,,
BEL,2030,,
BEL,2031,,
BEL,2032,,
BEL,2033,,
BEL,2034,,
BEL,2035,,
BEL,2036,,
BEL,2037,,
BEL,2038,,
BEL,2039,,
BEL,2040,,
BEL,2041,,
BEL,2042,,
BEL,2043,,
BEL,2044,,
BEL,2045,,
BEL,2046,,
BEL,2047,,
BEL,2048,,
BEL,2049,,
BEL,2050,,
BEL,2055,,
BEL,2060,,
BEL,2065,,
BEL,2070,,
BEL,2075,,
BEL,2080,,
BEL,2085,,
BEL,2090,,
BEL,2095,,
BEL,2100,,
BEN,1990,,6
BEN,1991,,6
BEN,1992,,6
BEN,1993,,6
BEN,1994,,6
BEN,1995,,6
BEN,1996,,6
BEN,1997,,6
BEN,1998,6,6
BEN,1999,6,6
BEN,2000,6,6
BEN,2001,6,6
BEN,2002,6,6
BEN,2003,6,6
BEN,2004,6,6
BEN,2005,6,6
BEN,2006,6,6
BEN,2007,6,6
BEN,2008,6,6
BEN,2009,6,6
BEN,2010,6,6
BEN,2011,6,6
BEN,2012,6,6
BEN,2013,6,6
BEN,2014,6,6
BEN,2015,6,6
BEN,2016,6,6
BEN,2017,6,6
BEN,2018,6,6
BEN,2019,6,6
BEN,2020,,6
BEN,2021,,6
BEN,2022,,6
BEN,2023,,
BEN,2024,,
BEN,2025,,
BEN,2026,,
BEN,2027,,
BEN,2028,,
BEN,2029,,
BEN,2030,,
BEN,2031,,
BEN,2032,,
BEN,2033,,
BEN,2034,,
BEN,2035,,
BEN,2036,,
BEN,2037,,
BEN,2038,,
BEN,2039,,
BEN,2040,,
BEN,2041,,
BEN,2042,,
BEN,2043,,
BEN,2044,,
BEN,2045,,
BEN,2046,,
BEN,2047,,
BEN,2048,,
BEN,2049,,
BEN,2050,,
BEN,2055,,
BEN,2060,,
BEN,2065,,
BEN,2070,,
BEN,2075,,
BEN,2080,,
BEN,2085,,
BEN,2090,,
BEN,2095,,
BEN,2100,,
BFA,1990,,6
BFA,1991,,6
BFA,1992,,6
BFA,1993,,6
BFA,1994,,6
BFA,1995,,6
BFA,1996,,6
BFA,1997,,6
BFA,1998,6,6
BFA,1999,6,6
BFA,2000,6,6
BFA,2001,6,6
BFA,2002,6,6
BFA,2003,6,6
BFA,2004,6,6
BFA,2005,6,6
BFA,2006,6,6
BFA,2007,6,6
BFA,2008,6,6
BFA,2009,6,6
BFA,2010,6,6
BFA,2011,6,6
BFA,2012,6,6
BFA,2013,6,6
BFA,2014,6,6
BFA,2015,6,6
BFA,2016,6,6
BFA,2017,6,6
BFA,2018,6,6
BFA,2019,6,6
BFA,2020,,6
BFA,2021,,6
BFA,2022,,6
BFA,2023,,
BFA,2024,,
BFA,2025,,
BFA,2026,,
BFA,2027,,
BFA,2028,,
BFA,2029,,
BFA,2030,,
BFA,2031,,
BFA,2032,,
BFA,2033,,
BFA,2034,,
BFA,2035,,
BFA,2036,,
BFA,2037,,
BFA,2038,,
BFA,2039,,
BFA,2040,,
BFA,2041,,
BFA,2042,,
BFA,2043,,
BFA,2044,,
BFA,2045,,
BFA,2046,,
BFA,2047,,
BFA,2048,,
BFA,2049,,
BFA,2050,,
BFA,2055,,
BFA,2060,,
BFA,2065,,
BFA,2070,,
BFA,2075,,
BFA,2080,,
BFA,2085,,
BFA,2090,,
BFA,2095,,
BFA,2100,,
BGD,1990,,5
BGD,1991,,5
BGD,1992,,5
BGD,1993,,5
BGD,1994,,5
BGD,1995,,5
BGD,1996,,5
BGD,1997,,5
BGD,1998,6,5
BGD,1999,6,5
BGD,2000,6,5
BGD,2001,6,5
BGD,2002,6,5
BGD,2003,6,5
BGD,2004,6,5
BGD,2005,6,5
BGD,2006,6,5
BGD,2007,6,5
BGD,2008,6,5
BGD,2009,6,5
BGD,2010,6,5
BGD,2011,6,5
BGD,2012,6,5
BGD,2013,6,5
BGD,2014,6,5
BGD,2015,6,5
BGD,2016,6,5
BGD,2017,6,5
BGD,2018,6,5
BGD,2019,6,5
BGD,2020,,5
BGD,2021,,5
BGD,2022,,5
BGD,2023,,
BGD,2024,,
BGD,2025,,
BGD,2026,,
BGD,2027,,
BGD,2028,,
BGD,2029,,
BGD,2030,,
BGD,2031,,
BGD,2032,,
BGD,2033,,
BGD,2034,,
BGD,2035,,
BGD,2036,,
BGD,2037,,
BGD,2038,,
BGD,2039,,
BGD,2040,,
BGD,2041,,
BGD,2042,,
BGD,2043,,
BGD,2044,,
BGD,2045,,
BGD,2046,,
BGD,2047,,
BGD,2048,,
BGD,2049,,
BGD,2050,,
BGD,2055,,
BGD,2060,,
BGD,2065,,
BGD,2070,,
BGD,2075,,
BGD,2080,,
BGD,2085,,
BGD,2090,,
BGD,2095,,
BGD,2100,,
BGR,1990,,4
BGR,1991,,4
BGR,1992,,4
BGR,1993,,4
BGR,1994,,4
BGR,1995,,4
BGR,1996,,4
BGR,1997,,4
BGR,1998,7,4
BGR,1999,7,4
BGR,2000,7,4
BGR,2001,7,4
BGR,2002,7,4
BGR,2003,7,4
BGR,2004,7,4
BGR,2005,7,4
BGR,2006,7,4
BGR,2007,7,4
BGR,2008,7,4
BGR,2009,7,4
BGR,2010,7,4
BGR,2011,5,4
BGR,2012,5,4
BGR,2013,5,4
BGR,2014,5,4
BGR,2015,5,4
