countrycode,year,test,idgrade,subject,nonprof_all,se_nonprof_all,nonprof_ma,se_nonprof_ma,nonprof_fe,se_nonprof_fe,fgt1_all,fgt1_fe,fgt1_ma,fgt2_all,fgt2_fe,fgt2_ma
DEU,2015,TIMSS,4,science,3.9718211,.5690437,3.9458156,.66082782,3.9998889,.65276027,.077240981,.075769357,.078896977,.011486534,.010691709,.012313086
DEU,2016,PIRLS,4,read,5.4925561,.91630173,6.5240917,1.3055249,4.4245539,.8908788,.1226086,.13274123,.11627812,.027051875,.030122809,.02517437
DNK,2006,PIRLS,4,read,3.4869134,.44103959,4.2330446,.71050769,2.7873099,.50595999,.081402034,.074096799,.086426876,.011032841,.0096198972,.011976984
DNK,2007,TIMSS,4,math,4.6738505,.76938581,5.1084995,.97083664,4.2581854,.84029752,.08935234,.088994473,.089849524,.014209471,.014652325,.013870113
DNK,2007,TIMSS,4,science,7.0845785,.82864833,7.5095534,1.1729001,6.6781578,1.0942608,.10654233,.10078698,.11305082,.019563068,.01864275,.020788057
DNK,2011,PIRLS,4,read,1.4267802,.21996096,1.6681314,.37661621,1.1899829,.30372426,.062492035,.071349517,.055261035,.0070690061,.0091023603,.0053627929
DNK,2011,TIMSS,4,math,3.4074843,.55431122,3.3784986,.71208882,3.4351468,.61691672,.091369525,.099648878,.08203432,.015832277,.018760437,.012552833
DNK,2011,TIMSS,4,science,4.8393846,.70966876,5.1012635,.91903192,4.5895281,.75614339,.096815184,.10621048,.08811485,.017705247,.020809609,.014827517
DNK,2015,TIMSS,4,math,4.0880919,.64475524,4.0540338,.91920102,4.123044,.80376834,.082407318,.075939916,.088965818,.011539574,.0097264647,.013341086
DNK,2015,TIMSS,4,science,4.2105379,.53701687,4.5400023,.70972496,3.8723886,.72194237,.084982619,.082182571,.087533131,.012295315,.011256826,.013252018
DNK,2016,PIRLS,3,read,11.819988,.87313324,13.790607,1.0748776,9.8819494,1.0576172,.13618927,.11909162,.1486091,.031647861,.023663644,.037444349
DNK,2016,PIRLS,4,read,2.6210546,.40861928,2.8600514,.62710011,2.3911417,.49161655,.083623327,.092148997,.076152489,.012041357,.013575428,.010647288
DOM,2006,LLECE,6,read,89.417336,1.2134923,90.959106,1.2307163,87.78138,1.4226463,.20984936,.19672002,.22009218,.059137374,.052634291,.063956626
DOM,2013,LLECE,6,read,79.381966,1.7831495,80.609627,2.8067536,78.122993,1.5969588,.16482483,.15541057,.17378969,.038162485,.035735313,.040405963
DZA,2007,TIMSS,4,math,59.065132,2.234638,60.053146,2.0998881,58.064732,2.8048759,.20312078,.20117839,.20497164,.063470155,.062697157,.064199403
DZA,2007,TIMSS,4,science,66.52803,2.0792232,68.446373,2.1249931,64.585632,2.593668,.25366512,.24860145,.25840154,.096966431,.094575234,.099208049
ECU,2006,LLECE,6,read,77.639915,1.9769791,79.053574,2.0856388,76.42791,3.2836969,.19663298,.19249278,.20018061,.059537861,.057617344,.060473781
ECU,2013,LLECE,6,read,62.068684,1.8915094,62.174427,1.974133,62.053181,2.3672504,.14530127,.13929358,.15052831,.031329058,.029091662,.033272836
EGY,2016,PIRLS,4,read,69.155106,1.7668108,73.60952,1.9039412,64.601532,1.8867943,.3273429,.28823343,.36091986,.16097125,.12823926,.18907219
ESP,2006,PIRLS,4,read,6.4623952,.83914471,6.6658916,1.0711429,6.254065,.9830122,.097533196,.10266735,.092942923,.017436704,.019217866,.015832953
ESP,2011,PIRLS,4,read,6.1280847,.69463515,7.0787907,1.1746172,5.1544247,.61746079,.079556473,.080252446,.07923907,.010939718,.011221278,.010769773
ESP,2011,TIMSS,4,math,12.708902,1.3040901,11.832404,1.5689495,13.61937,1.4735527,.093664646,.091502562,.096339397,.014858494,.014190389,.015660312
ESP,2011,TIMSS,4,science,8.45294,1.1596133,7.8647556,1.177838,9.0639172,1.3346075,.091457076,.090040147,.092999689,.014138117,.013577922,.014747969
ESP,2015,TIMSS,4,math,7.0198593,.87480474,6.8492889,.99785477,7.1951985,1.1516693,.081890754,.078607388,.085206546,.011898601,.011327463,.012444412
ESP,2015,TIMSS,4,science,5.201417,.68644059,5.4427266,.81427062,4.9533663,.8378588,.088451445,.08702758,.089551754,.01373934,.013135204,.014237944
ESP,2016,PIRLS,4,read,3.431344,.49629551,4.3945255,.87470311,2.4438381,.3892706,.075334378,.064919785,.081212744,.010003167,.0073349015,.011508469
FIN,2011,PIRLS,4,read,.79878569,.2001375,1.084429,.33230689,.50019622,.19822688,.069039688,.059644058,.073943719,.0094634108,.0070139198,.010987041
FIN,2011,TIMSS,4,math,2.0760715,.42004585,2.3910284,.60590887,1.744169,.42810422,.083876744,.076493651,.088931017,.014022419,.011437858,.015883774
FIN,2011,TIMSS,4,science,1.2376726,.31424659,1.3541937,.41498467,1.114881,.379269,.092128277,.094084151,.091660053,.015077486,.01623716,.014392858
FIN,2015,TIMSS,4,math,2.6628017,.41589466,3.3640206,.61687541,1.9076407,.42197314,.081090525,.085652083,.078790225,.012994714,.012925823,.013017541
FIN,2015,TIMSS,4,science,1.4970958,.38992715,1.8927515,.59570509,1.0710001,.28855264,.10319501,.087584108,.11118195,.021139357,.013292201,.025280643
FIN,2016,PIRLS,4,read,1.7100692,.29318789,2.3466051,.52474904,1.0716259,.29770705,.098311961,.10085908,.097680241,.01680286,.015653253,.017563291
FRA,2001,PIRLS,4,read,4.6359596,.64543539,5.8537779,.88398111,3.3413708,.6830135,.083483964,.074219748,.088753387,.011967869,.0094213886,.013402627
FRA,2006,PIRLS,4,read,4.0925798,.42905742,5.0575137,.60058939,3.0663729,.44685853,.073342755,.076696903,.071491621,.009686023,.010528903,.009234421
FRA,2011,PIRLS,4,read,4.7308865,.77723807,4.6420932,.72597766,4.8217831,.97699666,.075099997,.074459314,.07572975,.0092837792,.0092532253,.0092948237
FRA,2015,TIMSS,4,math,12.501186,.98431802,11.904454,1.0300738,13.12533,1.3949523,.094650015,.096363045,.092947632,.01518356,.015547621,.014817527
FRA,2015,TIMSS,4,science,12.192451,1.0387965,12.78767,1.2280244,11.569881,1.3543863,.095655367,.094964273,.096341781,.015614826,.015234415,.015961083
FRA,2016,PIRLS,4,read,6.2845764,.49711183,7.2820187,.69898474,5.2986622,.69623154,.093723387,.093675509,.093812704,.015481822,.015551862,.015436458
GBR,2001,PIRLS,5,read,5.711132,.62711519,7.2862682,.87271053,4.236865,.74345946,.10641293,.10520219,.10727208,.019717395,.018545505,.020463452
GBR,2003,TIMSS,4,math,7.920331,.73761398,8.3449068,.99877614,7.4912548,.90119112,.10990531,.11011443,.10960238,.020584872,.020580092,.020559529
GBR,2003,TIMSS,4,science,5.9597015,.62254953,6.6847086,.89684373,5.2270231,.66374636,.10387041,.10233776,.10494928,.019450061,.019319344,.019537752
GBR,2006,PIRLS,4,read,6.7622004,.59902871,7.717103,.71941817,5.7959261,.68913835,.11021046,.11518795,.10657139,.020435596,.021825574,.019425331
GBR,2007,TIMSS,4,math,6.36726,.59301388,7.1777878,.83383173,5.5227399,.61160582,.110705,.11206957,.10982171,.021264538,.021936089,.020806303
GBR,2007,TIMSS,4,science,5.208272,.55644,6.0914574,.7861076,4.2880535,.51338065,.10635772,.11089937,.10351486,.019819384,.022370107,.018160094
GBR,2011,PIRLS,4,read,3.2437325,.59564435,3.796953,.97221518,2.6816189,.6044113,.08622399,.084197663,.088798434,.013046278,.01268342,.013686175
GBR,2011,PIRLS,5,read,4.6339455,.53728783,6.1062393,.68860549,3.1097651,.64917547,.092357859,.09403003,.091519952,.014096443,.015007838,.013654025
GBR,2011,TIMSS,4,math,4.0750685,.50082046,4.8452616,.86213166,3.284806,.53814906,.11993902,.10327499,.13133767,.025290512,.017438523,.030584734
GBR,2011,TIMSS,4,science,6.1889529,.96495479,6.7634583,.99691617,5.5994692,1.2170453,.10629465,.10017318,.1114395,.018555613,.015834561,.020772487
GBR,2011,TIMSS,5,math,6.6532793,.69909561,7.3664007,.73905832,5.8952212,1.0323105,.10822444,.10832076,.10813016,.020829411,.020946825,.020731444
GBR,2011,TIMSS,5,science,6.8092766,.70172834,7.8809142,.98796439,5.6701126,.89935762,.10664421,.099319234,.11205912,.02004225,.018610954,.021188218
GBR,2015,TIMSS,4,math,4.2443218,.6204645,4.537982,.68192238,3.9607108,.78743219,.082967579,.082221553,.083860897,.012516355,.01229856,.012727966
GBR,2015,TIMSS,4,science,3.1321883,.42720816,3.4817696,.55999255,2.7945817,.51297444,.068093181,.067775361,.068555169,.0088185221,.0090093948,.0086557763
GBR,2016,PIRLS,4,read,3.1756341,.33946967,3.8290858,.48129898,2.5315464,.38482594,.10084737,.10486892,.098211765,.018224634,.020558249,.016678337
GEO,2006,PIRLS,4,read,17.977888,1.3104683,21.12376,1.6429163,14.568299,1.4011302,.10851762,.10084289,.11342702,.019375479,.016950993,.020931311
GEO,2007,TIMSS,4,math,33.171272,1.9856182,34.779751,2.1807234,31.350458,2.2420442,.1502443,.15009978,.15037516,.036638588,.036255311,.036946565
