countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
DZA,Algeria,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC01
ECU,Ecuador,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC6C
EGY,"Egypt, Arab Rep.",MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,MNC03
ERI,Eritrea,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE3
ESP,Spain,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
EST,Estonia,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
ETH,Ethiopia,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE3
FIN,Finland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
FJI,Fiji,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,EACNF 
FRA,France,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
FRO,Faroe Islands,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
FSM,"Micronesia, Fed. Sts.",EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACNF
GAB,Gabon,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCC1
GBR,United Kingdom,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
GEO,Georgia,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCSC
GHA,Ghana,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCW1
GIB,Gibraltar,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
GIN,Guinea,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCF2
GMB,"Gambia, The",SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCF1
GNB,Guinea-Bissau,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCF1
GNQ,Equatorial Guinea,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCC1
GRC,Greece,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
GRD,Grenada,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,LCC3C
GRL,Greenland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
GTM,Guatemala,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC2C
GUM,Guam,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EACNF
GUY,Guyana,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,LCC3C
HKG,"Hong Kong SAR, China",EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,
HND,Honduras,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,LCC2C
HRV,Croatia,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,IBD,XF,IBRD,ECCEU
HTI,Haiti,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),LIC,XM,Low income,IDX,XI,IDA,LCC8C
HUN,Hungary,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
IDN,Indonesia,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,EACIF
IMN,Isle of Man,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
IND,India,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,SACIN
IRL,Ireland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
