countrycode,year,se_prm_tenr,se_prm_tenr_fe,se_prm_tenr_ma
CAF,1992,,,
CAF,1993,,,
CAF,1994,,,
CAF,1995,,,
CAF,1996,,,
CAF,1997,,,
CAF,1998,,,
CAF,1999,,,
CAF,2000,,,
CAF,2001,,,
CAF,2002,,,
CAF,2003,,,
CAF,2004,,,
CAF,2005,47.767941,40.215591,55.41766
CAF,2006,48.210579,40.373772,56.15276
CAF,2007,56.21571,46.891571,65.661972
CAF,2008,65.09037,55.339809,74.965569
CAF,2009,65.414864,55.529079,75.426003
CAF,2010,67.67939,57.892761,77.59288
CAF,2011,65.736053,56.790531,74.804527
CAF,2012,68.352219,60.17263,76.641663
CAF,2013,,,
CAF,2014,,,
CAF,2015,,,
CAF,2016,,,
CAF,2017,,,
CAF,2018,,,
CAN,1990,95.18573,95.534843,94.85437
CAN,1991,97.738617,97.54184,97.925407
CAN,1992,97.486328,97.301308,97.661873
CAN,1993,95.862663,95.285789,96.410278
CAN,1994,95.308922,94.339401,96.230209
CAN,1995,94.182831,93.527878,94.805801
CAN,1996,95.110893,94.428917,95.759827
CAN,1997,,,
CAN,1998,98.432716,98.388199,98.475128
CAN,1999,99.705147,99.777702,99.636017
CAN,2000,99.919533,,
CAN,2001,,,
CAN,2002,,,
CAN,2003,,,
CAN,2004,,,
CAN,2005,,,
CAN,2006,,,
CAN,2007,,,
CAN,2008,,,
CAN,2009,,,
CAN,2010,,,
CAN,2011,,,
CAN,2012,99.470589,,
CAN,2013,99.449921,,
CAN,2014,99.40451,,
CAN,2015,99.598099,,
CAN,2016,99.962242,,
CAN,2017,,,
CAN,2018,,,
CHE,1990,83.292801,83.799057,82.809441
CHE,1991,84.091743,84.644829,83.56382
CHE,1992,84.126961,84.690201,83.591179
CHE,1993,83.3256,84.137428,82.555237
CHE,1994,82.439934,83.373947,81.554718
CHE,1995,88.866158,88.612473,89.106529
CHE,1996,90.792183,90.658127,90.919228
CHE,1997,,,
CHE,1998,,,
CHE,1999,99.482971,99.693321,99.283302
CHE,2000,99.297592,99.697479,98.918587
CHE,2001,99.224289,99.758087,98.719872
CHE,2002,99.226753,99.784363,98.70005
CHE,2003,99.229538,99.814842,98.676498
CHE,2004,,,
CHE,2005,,,
CHE,2006,,,
CHE,2007,,,
CHE,2008,,,
CHE,2009,,,
CHE,2010,99.09285,99.317673,98.880623
CHE,2011,99.235382,99.519958,98.96714
CHE,2012,99.212341,99.60936,98.837807
CHE,2013,99.632553,99.889519,99.389839
CHE,2014,99.65107,99.883049,99.43161
CHE,2015,99.62648,99.859062,99.406082
CHE,2016,99.759949,99.818352,99.704514
CHE,2017,,,
CHE,2018,,,
CHI,1990,,,
CHI,1991,,,
CHI,1992,,,
CHI,1993,,,
CHI,1994,,,
CHI,1995,,,
CHI,1996,,,
CHI,1997,,,
CHI,1998,,,
CHI,1999,,,
CHI,2000,,,
CHI,2001,,,
CHI,2002,,,
CHI,2003,,,
CHI,2004,,,
CHI,2005,,,
CHI,2006,,,
CHI,2007,,,
CHI,2008,,,
CHI,2009,,,
CHI,2010,,,
CHI,2011,,,
CHI,2012,,,
CHI,2013,,,
CHI,2014,,,
CHI,2015,,,
CHI,2016,,,
CHI,2017,,,
CHI,2018,,,
CHL,1990,,,
CHL,1991,,,
CHL,1992,,,
CHL,1993,,,
CHL,1994,,,
CHL,1995,,,
CHL,1996,,,
CHL,1997,,,
CHL,1998,,,
CHL,1999,,,
CHL,2000,,,
CHL,2001,,,
CHL,2002,,,
CHL,2003,,,
CHL,2004,,,
CHL,2005,,,
CHL,2006,,,
CHL,2007,95.415382,95.011169,95.805443
CHL,2008,95.106262,94.607788,95.587212
CHL,2009,92.854973,92.6399,93.062447
CHL,2010,93.286499,93.310951,93.262909
CHL,2011,92.102707,92.063248,92.140762
CHL,2012,91.496887,91.503189,91.490829
CHL,2013,90.655502,90.748108,90.566254
CHL,2014,90.827011,90.892441,90.763939
CHL,2015,91.633667,91.696747,91.572884
CHL,2016,92.945229,93.075203,92.820023
CHL,2017,94.81424,94.932259,94.700546
CHL,2018,,,
CHN,1990,96.871887,,
CHN,1991,96.200867,93.223549,99.006248
CHN,1992,94.755241,92.07016,97.28421
CHN,1993,93.38945,90.933281,95.701218
CHN,1994,91.822411,89.642517,93.871979
CHN,1995,90.311951,88.590981,91.927681
CHN,1996,89.444191,88.104797,90.699333
CHN,1997,89.13662,88.181236,90.030113
CHN,1998,,,
CHN,1999,,,
CHN,2000,,,
CHN,2001,,,
CHN,2002,,,
CHN,2003,,,
CHN,2004,,,
CHN,2005,,,
CHN,2006,,,
CHN,2007,,,
CHN,2008,,,
CHN,2009,,,
CHN,2010,,,
CHN,2011,,,
CHN,2012,,,
CHN,2013,,,
CHN,2014,,,
CHN,2015,,,
CHN,2016,,,
CHN,2017,,,
CHN,2018,,,
CIV,1990,,,
CIV,1991,47.71637,,
CIV,1992,48.07795,,
CIV,1993,,,
CIV,1994,,,
CIV,1995,,,
CIV,1996,53.576241,45.857342,61.293941
CIV,1997,54.714432,46.871799,62.533951
CIV,1998,,,
CIV,1999,56.828209,48.99474,64.600769
CIV,2000,55.932529,47.54813,64.240997
CIV,2001,60.028469,51.670261,68.309418
CIV,2002,60.200691,51.050701,69.253098
CIV,2003,55.779228,49.882481,61.608978
CIV,2004,,,
CIV,2005,,,
CIV,2006,,,
CIV,2007,,,
CIV,2008,,,
CIV,2009,56.081131,51.042789,61.065681
CIV,2010,,,
CIV,2011,,,
CIV,2012,,,
CIV,2013,69.362541,66.596893,72.107063
CIV,2014,73.965073,69.399147,78.50415
CIV,2015,77.703659,72.963387,82.423813
CIV,2016,87.650581,82.960732,92.327072
CIV,2017,89.00853,84.913292,93.094818
CIV,2018,,,
CMR,1990,73.971642,68.850677,79.047073
CMR,1991,72.068741,67.202698,76.890533
CMR,1992,,,
CMR,1993,,,
CMR,1994,,,
CMR,1995,,,
CMR,1996,,,
CMR,1997,,,
CMR,1998,,,
CMR,1999,,,
CMR,2000,,,
CMR,2001,,,
CMR,2002,,,
CMR,2003,,,
CMR,2004,,,
CMR,2005,,,
CMR,2006,,,
CMR,2007,,,
CMR,2008,86.524353,,
CMR,2009,89.221291,,
CMR,2010,,,
CMR,2011,91.091301,85.176277,96.91935
CMR,2012,94.134628,88.65876,99.529808
CMR,2013,,,
CMR,2014,94.79718,89.987549,99.53508
CMR,2015,,,
CMR,2016,95.274017,91.018028,99.464882
CMR,2017,95.200493,90.946938,99.388199
CMR,2018,,,
COD,1990,,,
COD,1991,61.428822,54.072781,68.736191
COD,1992,59.73188,53.130169,66.286903
COD,1993,58.680649,52.463268,64.851639
COD,1994,59.861271,52.623611,67.04303
COD,1995,67.835777,55.92757,79.65052
COD,1996,,,
COD,1997,,,
COD,1998,,,
COD,1999,36.81181,35.893478,37.722069
COD,2000,,,
COD,2001,,,
COD,2002,,,
COD,2003,,,
COD,2004,,,
COD,2005,,,
COD,2006,,,
COD,2007,,,
COD,2008,,,
COD,2009,,,
COD,2010,,,
COD,2011,,,
COD,2012,,,
COD,2013,,,
COD,2014,,,
COD,2015,,,
COD,2016,,,
COD,2017,,,
COD,2018,,,
COG,1990,,,
COG,1991,,,
COG,1992,,,
COG,1993,,,
COG,1994,,,
COG,1995,,,
COG,1996,,,
COG,1997,,,
COG,1998,,,
COG,1999,,,
COG,2000,,,
COG,2001,,,
COG,2002,,,
COG,2003,,,
COG,2004,,,
COG,2005,51.333248,55.898819,46.813728
COG,2006,54.62999,51.786572,57.445412
COG,2007,,,
COG,2008,,,
COG,2009,,,
COG,2010,84.468979,82.817169,86.104897
COG,2011,,,
COG,2012,87.220459,90.854401,83.620491
COG,2013,,,
COG,2014,,,
COG,2015,,,
COG,2016,,,
COG,2017,,,
COG,2018,,,
COL,1990,,,
COL,1991,67.927338,72.777573,63.251202
COL,1992,75.546852,,
COL,1993,76.411003,,
COL,1994,77.520958,,
COL,1995,81.0354,,
COL,1996,86.276787,,
COL,1997,,,
COL,1998,93.926758,,
COL,1999,96.339882,96.954323,95.749474
COL,2000,97.537651,97.525383,97.549438
COL,2001,97.084473,93.740448,94.628273
COL,2002,97.583252,93.91291,94.996338
COL,2003,,,
COL,2004,97.190758,97.624519,96.774292
COL,2005,97.455589,97.68795,97.232498
COL,2006,96.389137,96.649269,96.139359
COL,2007,95.77774,96.207329,95.365288
COL,2008,96.287514,96.373161,96.205299
COL,2009,96.852249,96.798203,96.904121
COL,2010,97.221046,97.040878,97.393883
COL,2011,97.318962,97.236313,97.398247
COL,2012,94.350662,94.31591,94.384003
COL,2013,93.078773,93.185791,92.976128
COL,2014,92.258118,92.467552,92.057228
COL,2015,93.16819,93.444099,92.903481
COL,2016,93.581177,93.91684,93.259087
COL,2017,93.687012,94.095039,93.295448
COL,2018,,,
COM,1990,,,
COM,1991,,,
COM,1992,,,
COM,1993,,,
COM,1994,69.222191,62.296089,75.96508
COM,1995,,,
COM,1996,,,
COM,1997,,,
COM,1998,,,
COM,1999,60.793961,55.924351,65.512741
COM,2000,67.494728,62.136009,72.68438
COM,2001,,,
COM,2002,,,
COM,2003,,,
COM,2004,,,
COM,2005,,,
COM,2006,,,
COM,2007,79.174133,76.250526,81.999023
COM,2008,,,
COM,2009,,,
COM,2010,,,
COM,2011,,,
COM,2012,,,
COM,2013,86.71476,84.37104,88.979759
COM,2014,82.7174,81.283272,84.103218
COM,2015,,,
COM,2016,,,
COM,2017,84.184731,83.594322,84.754837
COM,2018,,,
CPV,1990,99.197929,,
CPV,1991,,,
CPV,1992,,,
CPV,1993,,,
CPV,1994,99.125381,,
CPV,1995,,,
CPV,1996,,,
CPV,1997,,,
CPV,1998,99.796867,,
CPV,1999,,,
CPV,2000,99.601418,,
CPV,2001,98.341118,98.47245,98.21228
CPV,2002,97.939018,98.216003,97.667053
CPV,2003,97.2789,97.296059,97.262039
CPV,2004,95.323433,95.686623,94.966507
CPV,2005,94.618103,94.665649,94.57135
CPV,2006,93.596863,93.568657,93.624619
CPV,2007,92.013741,91.648003,92.374901
CPV,2008,89.924797,89.285309,90.55658
CPV,2009,88.528587,87.674301,89.372009
CPV,2010,87.50811,86.914864,88.093674
CPV,2011,86.558571,85.664337,87.442627
CPV,2012,87.093353,86.19635,87.978539
CPV,2013,86.761208,86.197189,87.317329
CPV,2014,86.954773,86.302612,87.597542
CPV,2015,87.036507,86.503723,87.561394
CPV,2016,86.410233,85.573158,87.234169
CPV,2017,86.318542,85.509628,87.113853
CPV,2018,,,
CRI,1990,87.733589,87.956581,87.519653
CRI,1991,88.287018,88.668037,87.921501
CRI,1992,90.346481,,
CRI,1993,91.138649,,
CRI,1994,90.733276,,
CRI,1995,92.44825,,
CRI,1996,94.91349,,
CRI,1997,,,
CRI,1998,,,
CRI,1999,,,
CRI,2000,,,
CRI,2001,,,
CRI,2002,,,
CRI,2003,,,
CRI,2004,,,
CRI,2005,,,
CRI,2006,,,
CRI,2007,,,
CRI,2008,,,
CRI,2009,,,
CRI,2010,,,
CRI,2011,99.436577,99.559883,99.318764
CRI,2012,99.470207,99.609001,99.337608
CRI,2013,98.472412,98.685532,98.268829
CRI,2014,96.35849,96.358383,96.358597
CRI,2015,96.516533,96.4319,96.597351
CRI,2016,96.790077,96.835152,96.74704
CRI,2017,,,
CRI,2018,,,
CUB,1990,92.490288,92.498749,92.482231
CUB,1991,92.087051,92.191681,91.987389
CUB,1992,94.269096,94.58432,93.967957
CUB,1993,95.085701,95.318413,94.862953
CUB,1994,97.378662,97.557137,97.20771
CUB,1995,97.266182,97.512756,97.030243
CUB,1996,99.216377,98.96019,99.46096
CUB,1997,98.964813,98.607468,99.305107
CUB,1998,98.685677,98.420883,98.937561
CUB,1999,98.816338,98.454041,99.160843
CUB,2000,98.133759,97.724159,98.523209
CUB,2001,97.406837,96.968529,97.823433
CUB,2002,96.968521,96.786308,97.141113
CUB,2003,94.943878,94.744614,95.132019
CUB,2004,94.667007,94.289124,95.023048
CUB,2005,94.437752,94.325287,94.543694
CUB,2006,94.508553,94.76387,94.267487
CUB,2007,96.699799,96.303612,97.074211
CUB,2008,97.613869,97.4011,97.814888
CUB,2009,99.818901,99.768951,99.866043
CUB,2010,99.950249,99.899948,99.997673
CUB,2011,99.996422,99.995178,99.997589
CUB,2012,99.600273,99.667297,99.53701
CUB,2013,99.568893,99.497101,99.636681
CUB,2014,96.562599,96.683578,96.448311
CUB,2015,95.461571,95.365967,95.551857
CUB,2016,95.754257,95.698181,95.807213
CUB,2017,97.03627,96.958282,97.10984
CUB,2018,,,
CUW,1990,,,
CUW,1991,,,
CUW,1992,,,
CUW,1993,,,
CUW,1994,,,
CUW,1995,,,
CUW,1996,,,
CUW,1997,,,
CUW,1998,,,
CUW,1999,,,
CUW,2000,,,
CUW,2001,,,
CUW,2002,,,
CUW,2003,,,
CUW,2004,,,
CUW,2005,,,
CUW,2006,,,
CUW,2007,,,
CUW,2008,,,
CUW,2009,,,
CUW,2010,,,
CUW,2011,,,
CUW,2012,,,
CUW,2013,,,
CUW,2014,,,
CUW,2015,,,
CUW,2016,,,
CUW,2017,,,
CUW,2018,,,
CYM,1990,,,
CYM,1991,,,
CYM,1992,,,
CYM,1993,,,
CYM,1994,,,
CYM,1995,,,
CYM,1996,,,
CYM,1997,,,
CYM,1998,,,
CYM,1999,,,
CYM,2000,,,
CYM,2001,,,
CYM,2002,,,
CYM,2003,,,
CYM,2004,,,
CYM,2005,,,
CYM,2006,,,
CYM,2007,,,
CYM,2008,,,
CYM,2009,,,
CYM,2010,,,
CYM,2011,,,
CYM,2012,,,
CYM,2013,,,
CYM,2014,,,
CYM,2015,,,
CYM,2016,,,
CYM,2017,,,
CYM,2018,,,
CYP,1990,78.82103,78.780411,78.859001
CYP,1991,79.152451,79.150711,79.154083
CYP,1992,77.361267,77.199211,77.512177
CYP,1993,97.629448,97.668808,97.592812
CYP,1994,96.916634,96.77906,97.045387
CYP,1995,96.212997,96.13147,96.289551
CYP,1996,96.117279,95.85717,96.360062
CYP,1997,96.284767,96.37603,96.199211
CYP,1998,,,
CYP,1999,97.991257,97.951363,98.028831
CYP,2000,98.069969,98.404968,97.75502
CYP,2001,97.539597,97.816757,97.278732
CYP,2002,98.506943,98.780869,98.24807
CYP,2003,98.635239,98.819801,98.461121
CYP,2004,98.760193,98.694359,98.823128
CYP,2005,99.662041,99.746429,99.581917
CYP,2006,99.520187,99.51693,99.523308
CYP,2007,99.341843,99.241951,99.437012
CYP,2008,98.961243,98.669762,99.241707
CYP,2009,99.144737,98.846848,99.429161
CYP,2010,99.285103,99.464813,99.115349
CYP,2011,99.28009,99.242897,99.315422
CYP,2012,98.176353,98.345596,98.016029
CYP,2013,97.49437,97.933052,97.080238
CYP,2014,97.135292,97.79261,96.519699
CYP,2015,97.828339,98.159111,97.514923
CYP,2016,,,
CYP,2017,,,
CYP,2018,,,
CZE,1990,,,
CZE,1991,,,
CZE,1992,,,
CZE,1993,,,
CZE,1994,,,
CZE,1995,,,
CZE,1996,,,
CZE,1997,,,
CZE,1998,,,
CZE,1999,,,
CZE,2000,,,
CZE,2001,,,
CZE,2002,,,
CZE,2003,,,
CZE,2004,,,
CZE,2005,,,
CZE,2006,,,
CZE,2007,,,
CZE,2008,,,
CZE,2009,,,
CZE,2010,,,
CZE,2011,,,
CZE,2012,,,
CZE,2013,,,
CZE,2014,,,
CZE,2015,,,
CZE,2016,,,
CZE,2017,,,
CZE,2018,,,
DEU,1990,,,
DEU,1991,,,
DEU,1992,,,
DEU,1993,,,
DEU,1994,,,
DEU,1995,,,
DEU,1996,,,
DEU,1997,,,
DEU,1998,,,
DEU,1999,99.818573,,
DEU,2000,99.998909,,
DEU,2001,99.940628,,
DEU,2002,99.770866,99.791252,99.751503
DEU,2003,99.559669,99.753479,99.375511
DEU,2004,99.887718,,
DEU,2005,99.865501,,
DEU,2006,99.772903,,
DEU,2007,99.929588,,
DEU,2008,99.739883,,
DEU,2009,99.673378,,
DEU,2010,99.682129,,
DEU,2011,99.671288,,
DEU,2012,99.56797,,
DEU,2013,99.814819,,
DEU,2014,99.830688,,
DEU,2015,99.810463,,
DEU,2016,99.78186,,
DEU,2017,,,
DEU,2018,,,
DJI,1990,27.197189,23.589781,30.73785
DJI,1991,27.2619,,
DJI,1992,28.46114,24.37232,32.474602
DJI,1993,26.210711,23.06435,29.297041
DJI,1994,27.085831,23.873899,30.23315
DJI,1995,28.14266,24.90626,31.31098
DJI,1996,28.112711,24.442659,31.70298
DJI,1997,27.037371,23.488529,30.50633
DJI,1998,,,
DJI,1999,26.85939,22.662781,30.95779
DJI,2000,27.033331,23.370251,30.609739
DJI,2001,29.713551,25.78145,33.552059
DJI,2002,31.35272,27.37574,35.23399
DJI,2003,,,
DJI,2004,35.330318,31.358561,39.205761
DJI,2005,36.878101,33.160671,40.505451
DJI,2006,39.889648,36.03817,43.648159
DJI,2007,43.280499,40.010681,46.471321
DJI,2008,46.559399,44.069012,48.989342
DJI,2009,45.793091,43.54483,47.986462
DJI,2010,,,
DJI,2011,54.011951,51.127449,56.825272
DJI,2012,,,
DJI,2013,54.13158,50.92823,57.255402
DJI,2014,61.943569,57.393021,66.381378
DJI,2015,55.592739,52.295361,58.809299
DJI,2016,52.421909,49.412552,55.358589
DJI,2017,55.058689,51.897331,58.144138
DJI,2018,57.538029,53.757751,61.228161
DMA,1990,,,
DMA,1991,,,
DMA,1992,,,
DMA,1993,,,
DMA,1994,,,
DMA,1995,,,
DMA,1996,,,
DMA,1997,,,
DMA,1998,,,
DMA,1999,,,
DMA,2000,98.413399,,
DMA,2001,97.295319,,
DMA,2002,98.706619,,
DMA,2003,98.003166,,
DMA,2004,98.444962,99.789871,97.185043
DMA,2005,95.535896,97.03656,94.112823
DMA,2006,93.80365,95.911949,91.77816
DMA,2007,89.251534,89.101959,89.397041
DMA,2008,89.67437,89.432487,89.911331
DMA,2009,97.175209,98.767647,95.610489
DMA,2010,,,
DMA,2011,,,
DMA,2012,,,
DMA,2013,,,
DMA,2014,,,
DMA,2015,,,
DMA,2016,98.202049,98.945831,97.481857
DMA,2017,,,
DMA,2018,,,
DNK,1990,97.685081,97.841232,97.535912
DNK,1991,98.254181,98.31617,98.194801
DNK,1992,97.431511,97.337479,97.521896
DNK,1993,96.96003,96.832581,97.082809
DNK,1994,98.688423,98.578613,98.794159
DNK,1995,98.278152,98.447472,98.115578
DNK,1996,98.148758,98.089897,98.205002
DNK,1997,,,
DNK,1998,99.442841,,
DNK,1999,97.949127,98.290733,97.626572
DNK,2000,98.105827,98.703941,97.541138
DNK,2001,99.846931,,
DNK,2002,99.860649,,
DNK,2003,,,
DNK,2004,98.258453,98.852432,97.694153
DNK,2005,96.154961,96.81633,95.526329
DNK,2006,96.502419,97.281181,95.762383
DNK,2007,97.050034,97.863678,96.276993
DNK,2008,96.510353,97.695053,95.384567
DNK,2009,96.429512,97.590019,95.325684
DNK,2010,96.269524,97.354172,95.236397
DNK,2011,97.751732,98.342201,97.187881
DNK,2012,98.238808,98.757942,97.742607
DNK,2013,98.650742,99.049248,98.269653
DNK,2014,98.365051,98.737511,98.009132
DNK,2015,98.693771,98.961998,98.43792
DNK,2016,99.020897,99.373489,98.685677
DNK,2017,,,
DNK,2018,,,
DOM,1990,,,
DOM,1991,,,
DOM,1992,,,
DOM,1993,,,
DOM,1994,,,
DOM,1995,,,
DOM,1996,,,
DOM,1997,,,
DOM,1998,,,
DOM,1999,84.998253,85.653412,84.36393
DOM,2000,86.102257,86.674232,85.548737
DOM,2001,,,
DOM,2002,92.746063,90.645828,94.778389
DOM,2003,89.833618,87.191254,92.390137
DOM,2004,84.603706,85.51944,83.717903
DOM,2005,86.017708,86.93602,85.129829
DOM,2006,84.150284,85.784729,82.570602
DOM,2007,90.15731,90.941322,89.398849
DOM,2008,86.590271,87.352097,85.853531
DOM,2009,95.30545,91.202713,99.271637
DOM,2010,94.773422,92.114487,97.341888
DOM,2011,94.69471,93.525139,95.823059
DOM,2012,93.693947,92.631828,94.720589
DOM,2013,93.401001,92.705101,94.073677
DOM,2014,91.68219,91.121811,92.224068
DOM,2015,95.534927,95.04055,96.012352
DOM,2016,95.139931,95.175789,95.105301
DOM,2017,94.3396,94.470207,94.213661
DOM,2018,,,
DZA,1990,85.390411,79.081757,91.444038
DZA,1991,87.112213,81.158813,92.827942
DZA,1992,88.199089,82.701691,93.477623
DZA,1993,87.71003,82.780022,92.443703
DZA,1994,87.652542,83.305496,91.825722
DZA,1995,87.882828,83.905533,91.69957
DZA,1996,87.438599,83.970169,90.76519
DZA,1997,86.915222,83.861977,89.842461
DZA,1998,,,
DZA,1999,89.7286,87.781097,91.594643
DZA,2000,90.526192,88.88916,92.095062
DZA,2001,92.64196,91.08165,94.138329
DZA,2002,93.902107,92.594582,95.156097
DZA,2003,94.426109,93.267433,95.537453
DZA,2004,95.178787,94.072891,96.239594
DZA,2005,95.477203,94.370781,96.538521
DZA,2006,95.677261,94.531097,96.776649
DZA,2007,95.87886,94.906021,96.81205
DZA,2008,97.221046,96.402527,98.006218
DZA,2009,98.966133,,
DZA,2010,98.887482,,
DZA,2011,99.05085,,
DZA,2012,99.110832,,
DZA,2013,,,
DZA,2014,,,
DZA,2015,99.267097,,
DZA,2016,99.231209,98.434517,99.996696
DZA,2017,99.442932,,
DZA,2018,,,
ECU,1990,,,
ECU,1991,,,
ECU,1992,,,
ECU,1993,,,
ECU,1994,92.288628,92.629021,91.959068
ECU,1995,92.652252,93.000877,92.314857
ECU,1996,93.692307,94.11898,93.279549
ECU,1997,96.072151,96.468742,95.688713
ECU,1998,96.459557,97.049561,95.889412
ECU,1999,96.261299,96.95665,95.589622
ECU,2000,96.994797,97.508202,96.499069
ECU,2001,98.568314,99.242531,97.917526
ECU,2002,99.367538,,
ECU,2003,99.311234,,
ECU,2004,,,
ECU,2005,99.376549,,
ECU,2006,99.455429,,
ECU,2007,99.36834,,
ECU,2008,97.240196,98.573189,95.956932
ECU,2009,96.765572,97.695892,95.870438
ECU,2010,97.018402,,
ECU,2011,96.736259,,
ECU,2012,96.423889,97.658089,95.238678
ECU,2013,98.083977,99.077721,97.130409
ECU,2014,97.964752,98.958023,97.012413
ECU,2015,98.192627,99.170181,97.256088
ECU,2016,97.902908,98.992599,96.859558
ECU,2017,,,
ECU,2018,,,
EGY,1990,,,
EGY,1991,,,
EGY,1992,,,
EGY,1993,,,
EGY,1994,84.934334,78.590439,90.957298
EGY,1995,,,
EGY,1996,,,
EGY,1997,85.761276,80.864143,90.40506
EGY,1998,,,
EGY,1999,83.92057,81.255928,86.448303
EGY,2000,86.051537,83.720528,88.263382
EGY,2001,87.520699,85.57756,89.364372
EGY,2002,88.979729,87.428741,90.45182
EGY,2003,90.756607,89.424141,92.021317
EGY,2004,92.963928,92.134827,93.75071
EGY,2005,93.548111,,
EGY,2006,91.714767,,
EGY,2007,97.153877,,
EGY,2008,,,
EGY,2009,98.107353,,
EGY,2010,98.983131,,
EGY,2011,95.299248,,
EGY,2012,96.870689,97.094994,96.659248
EGY,2013,,,
EGY,2014,96.719757,97.125282,96.337952
EGY,2015,,,
EGY,2016,98.638992,99.180252,98.129318
EGY,2017,98.585541,99.169037,98.036018
EGY,2018,,,
ERI,1990,,,
ERI,1991,,,
ERI,1992,21.211399,20.27162,22.139999
ERI,1993,,,
ERI,1994,24.267309,23.188869,25.333309
ERI,1995,25.436979,24.30382,26.557119
ERI,1996,27.15099,25.99021,28.298901
ERI,1997,27.59551,26.29228,28.88401
ERI,1998,,,
ERI,1999,33.388329,31.13311,35.618351
ERI,2000,38.96067,36.295422,41.597309
ERI,2001,41.342442,38.394272,44.26088
ERI,2002,46.953529,43.230461,50.637699
ERI,2003,52.085289,47.989891,56.1329
ERI,2004,55.030949,50.672001,59.32938
ERI,2005,56.72493,52.512459,60.865299
ERI,2006,56.01181,52.385342,59.561798
ERI,2007,50.92215,47.978771,53.79163
ERI,2008,47.348431,44.441078,50.17326
ERI,2009,43.843632,41.25449,46.353039
ERI,2010,41.444931,38.921322,43.886879
ERI,2011,43.964062,41.040291,46.79063
ERI,2012,46.24828,43.135139,49.254372
ERI,2013,44.177551,41.710461,46.554371
ERI,2014,44.273251,41.88266,46.57407
ERI,2015,42.635288,40.540939,44.64912
ERI,2016,,,
ERI,2017,37.716221,35.964432,39.39864
ERI,2018,,,
ESP,1990,98.958183,98.892677,99.020187
ESP,1991,99.662163,,
ESP,1992,99.349518,99.505112,99.20208
ESP,1993,99.986801,,
ESP,1994,99.982903,,
ESP,1995,99.956078,,
ESP,1996,99.943932,,
ESP,1997,99.935364,,
ESP,1998,,,
ESP,1999,99.856819,99.912567,99.804222
ESP,2000,99.813118,99.984879,99.651131
ESP,2001,99.762627,99.933632,99.601349
ESP,2002,99.818359,99.940941,99.702606
ESP,2003,99.856949,99.904213,99.812279
ESP,2004,99.748352,99.825478,99.6754
ESP,2005,99.619743,99.51561,99.718292
ESP,2006,99.77578,99.625664,99.917923
ESP,2007,99.88076,99.85051,99.909378
ESP,2008,99.856499,99.931297,99.785812
ESP,2009,99.717789,99.914497,99.532028
ESP,2010,99.61393,99.839783,99.400642
ESP,2011,99.67424,99.843658,99.514076
ESP,2012,99.668137,99.863022,99.484207
ESP,2013,99.11937,99.354393,98.897659
ESP,2014,98.522453,98.710808,98.344749
ESP,2015,98.932968,99.092369,98.782608
ESP,2016,98.530006,98.600739,98.463364
ESP,2017,,,
ESP,2018,,,
EST,1990,,,
EST,1991,,,
EST,1992,,,
EST,1993,,,
EST,1994,,,
EST,1995,87.034523,86.075699,87.958511
EST,1996,90.60952,89.908859,91.280617
EST,1997,,,
EST,1998,99.221581,,
EST,1999,99.141289,99.983704,98.354218
EST,2000,98.956688,99.977959,98.008568
EST,2001,98.890343,99.976692,97.884354
EST,2002,98.852562,,
EST,2003,97.237297,98.062141,96.465889
EST,2004,96.288643,97.12825,95.49894
EST,2005,96.11142,96.52021,95.725212
EST,2006,95.686333,95.780342,95.597298
EST,2007,96.772049,96.961029,96.592812
EST,2008,96.277962,96.17617,96.374512
EST,2009,96.095711,95.680557,96.489326
EST,2010,99.101173,98.608017,99.568398
EST,2011,99.642021,99.76989,99.52095
EST,2012,99.601837,99.81295,99.401627
EST,2013,98.296547,98.22084,98.368378
EST,2014,94.189629,94.577919,93.821564
EST,2015,93.566307,94.275398,92.895416
EST,2016,93.685654,94.327728,93.079552
EST,2017,,,
EST,2018,,,
ETH,1990,,,
ETH,1991,,,
ETH,1992,,,
ETH,1993,,,
ETH,1994,19.105391,15.50506,22.643101
ETH,1995,21.845341,17.19503,26.407
ETH,1996,26.06624,20.215281,31.799841
ETH,1997,,,
ETH,1998,33.50045,26.61117,40.264061
ETH,1999,35.992279,29.595591,42.277111
ETH,2000,40.06842,34.102348,45.932732
ETH,2001,44.330891,38.756031,49.806679
ETH,2002,46.564831,41.286388,51.758701
ETH,2003,47.352509,42.465469,52.161331
ETH,2004,50.22879,46.308281,54.084599
ETH,2005,61.1572,57.816059,64.440422
ETH,2006,65.83651,63.206348,68.418297
ETH,2007,71.005043,68.515312,73.444229
ETH,2008,76.634644,74.176353,79.040413
ETH,2009,76.200233,74.398262,77.963127
ETH,2010,74.288231,72.367996,76.167221
ETH,2011,78.250061,76.036484,80.417358
ETH,2012,79.490112,77.329231,81.607162
ETH,2013,,,
ETH,2014,86.316948,83.421143,89.155342
ETH,2015,86.019028,82.837311,89.137161
ETH,2016,,,
ETH,2017,,,
ETH,2018,,,
FIN,1990,,,
FIN,1991,,,
FIN,1992,,,
FIN,1993,98.753708,98.715767,98.789963
FIN,1994,98.637917,98.707916,98.571068
FIN,1995,98.314774,98.361282,98.27037
FIN,1996,98.367531,98.669769,98.079041
FIN,1997,98.714851,98.790291,98.64283
