COUNTRY,SERIES,TIME,Data,SCALE
ARG,SE.LPV.POP.PRIM.FE,YR2013,2478309,0
ARG,SE.LPV.POP.PRIM.MA,YR2013,2622463.5,0
ARG,SE.LPV.PRIM,YR2013,53.82010650634766,0
ARG,SE.LPV.PRIM.FE,YR2013,49.27634811401367,0
ARG,SE.LPV.PRIM.LD,YR2013,53.57896041870117,0
ARG,SE.LPV.PRIM.LD.FE,YR2013,49.011474609375,0
ARG,SE.LPV.PRIM.LD.MA,YR2013,59.28237915039063,0
ARG,SE.LPV.PRIM.LDGAP,YR2013,.132180467247963,0
ARG,SE.LPV.PRIM.LDGAP.FE,YR2013,.1248476281762123,0
ARG,SE.LPV.PRIM.LDGAP.MA,YR2013,.1383360624313354,0
ARG,SE.LPV.PRIM.LDSEV,YR2013,.0261554531753063,0
ARG,SE.LPV.PRIM.LDSEV.FE,YR2013,.0242107603698969,0
ARG,SE.LPV.PRIM.LDSEV.MA,YR2013,.0278886333107948,0
ARG,SE.LPV.PRIM.LPGAP,YR2013,.6516583114862442,0
ARG,SE.LPV.PRIM.LPGAP.FE,YR2013,.6443254724144936,0
ARG,SE.LPV.PRIM.LPGAP.MA,YR2013,.6578139066696167,0
ARG,SE.LPV.PRIM.LPSEV,YR2013,2.618243889837176,0
ARG,SE.LPV.PRIM.LPSEV.FE,YR2013,2.423774609296233,0
ARG,SE.LPV.PRIM.LPSEV.MA,YR2013,2.791561903386027,0
ARG,SE.LPV.PRIM.MA,YR2013,59.493896484375,0
ARG,SE.LPV.PRIM.SD,YR2013,.5194778442382813,0
ARG,SE.LPV.PRIM.SD.FE,YR2013,.5194778442382813,0
ARG,SE.LPV.PRIM.SD.MA,YR2013,.5194778442382813,0
ARG,SE.LPV.POP.0516,YR2019,8557334,0
ARG,SE.LPV.POP.10,YR2019,709872.5,0
ARG,SE.LPV.POP.1014,YR2019,3537399,0
ARG,SE.LPV.POP.9PLUS,YR2019,1428815.5,0
ARG,SE.LPV.POP.PRIM,YR2019,5100772.5,0
ARG,SE.LPV.PRIM,YR2019,59.14719009399414,0
ARG,SE.LPV.PRIM.LD,YR2019,58.93386077880859,0
ARG,SE.LPV.PRIM.SD,YR2019,.5194778442382813,0
ARM,SE.LPV.POP.0516,YR2003,439944.5,0
ARM,SE.LPV.POP.0516.FE,YR2003,208667.5,0
ARM,SE.LPV.POP.0516.MA,YR2003,231277,0
ARM,SE.LPV.POP.10,YR2003,37252.5,0
ARM,SE.LPV.POP.10.FE,YR2003,17611.5,0
ARM,SE.LPV.POP.10.MA,YR2003,19641,0
ARM,SE.LPV.POP.1014,YR2003,171937,0
ARM,SE.LPV.POP.1014.FE,YR2003,81522,0
ARM,SE.LPV.POP.1014.MA,YR2003,90415,0
ARM,SE.LPV.POP.9PLUS,YR2003,75915,0
ARM,SE.LPV.POP.9PLUS.FE,YR2003,35882,0
ARM,SE.LPV.POP.9PLUS.MA,YR2003,40033,0
ARM,SE.LPV.POP.PRIM,YR2003,196742,0
ARM,SE.LPV.POP.PRIM.FE,YR2003,93031,0
ARM,SE.LPV.POP.PRIM.MA,YR2003,103711,0
ARM,SE.LPV.PRIM,YR2003,40.45963287353516,0
ARM,SE.LPV.PRIM.FE,YR2003,38.82191848754883,0
ARM,SE.LPV.PRIM.LD,YR2003,34.45795059204102,0
ARM,SE.LPV.PRIM.LD.FE,YR2003,32.51220703125,0
ARM,SE.LPV.PRIM.LD.MA,YR2003,36.31131744384766,0
ARM,SE.LPV.PRIM.LDGAP,YR2003,.1743221879005432,0
ARM,SE.LPV.PRIM.LDGAP.FE,YR2003,.1642983853816986,0
ARM,SE.LPV.PRIM.LDGAP.MA,YR2003,.1828646510839462,0
ARM,SE.LPV.PRIM.LDSEV,YR2003,.0493106953799725,0
ARM,SE.LPV.PRIM.LDSEV.FE,YR2003,.0443734228610992,0
ARM,SE.LPV.PRIM.LDSEV.MA,YR2003,.0535225793719292,0
ARM,SE.LPV.PRIM.LPGAP,YR2003,9.331319868564606,0
ARM,SE.LPV.PRIM.LPGAP.FE,YR2003,9.513709396123886,0
ARM,SE.LPV.PRIM.LPGAP.MA,YR2003,9.171184048056602,0
ARM,SE.LPV.PRIM.LPSEV,YR2003,5.769575603234116,0
ARM,SE.LPV.PRIM.LPSEV.FE,YR2003,5.311457148587797,0
ARM,SE.LPV.PRIM.LPSEV.MA,YR2003,6.160156793012866,0
ARM,SE.LPV.PRIM.MA,YR2003,42.03585815429688,0
ARM,SE.LPV.PRIM.SD,YR2003,9.156997680664063,0
ARM,SE.LPV.PRIM.SD.FE,YR2003,9.349411010742188,0
ARM,SE.LPV.PRIM.SD.MA,YR2003,8.988319396972656,0
ARM,SE.LPV.POP.0516,YR2007,439944.5,0
ARM,SE.LPV.POP.0516.FE,YR2007,208667.5,0
ARM,SE.LPV.POP.0516.MA,YR2007,231277,0
ARM,SE.LPV.POP.10,YR2007,37252.5,0
ARM,SE.LPV.POP.10.FE,YR2007,17611.5,0
ARM,SE.LPV.POP.10.MA,YR2007,19641,0
ARM,SE.LPV.POP.1014,YR2007,171937,0
ARM,SE.LPV.POP.1014.FE,YR2007,81522,0
ARM,SE.LPV.POP.1014.MA,YR2007,90415,0
ARM,SE.LPV.POP.9PLUS,YR2007,75915,0
ARM,SE.LPV.POP.9PLUS.FE,YR2007,35882,0
ARM,SE.LPV.POP.9PLUS.MA,YR2007,40033,0
ARM,SE.LPV.POP.PRIM,YR2007,196742,0
ARM,SE.LPV.POP.PRIM.FE,YR2007,93031,0
ARM,SE.LPV.POP.PRIM.MA,YR2007,103711,0
ARM,SE.LPV.PRIM,YR2007,30.43424034118652,0
ARM,SE.LPV.PRIM.FE,YR2007,27.95955848693848,0
ARM,SE.LPV.PRIM.LD,YR2007,23.42199325561523,0
ARM,SE.LPV.PRIM.LD.FE,YR2007,20.52953910827637,0
ARM,SE.LPV.PRIM.LD.MA,YR2007,26.12224578857422,0
ARM,SE.LPV.PRIM.LDGAP,YR2007,.1680988520383835,0
ARM,SE.LPV.PRIM.LDGAP.FE,YR2007,.1615827977657318,0
ARM,SE.LPV.PRIM.LDGAP.MA,YR2007,.1728902757167816,0
ARM,SE.LPV.PRIM.LDSEV,YR2007,.0473643355071545,0
ARM,SE.LPV.PRIM.LDSEV.FE,YR2007,.0454260855913162,0
ARM,SE.LPV.PRIM.LDSEV.MA,YR2007,.0487891584634781,0
ARM,SE.LPV.PRIM.LPGAP,YR2007,9.325096532702446,0
ARM,SE.LPV.PRIM.LPGAP.FE,YR2007,9.510993808507919,0
ARM,SE.LPV.PRIM.LPGAP.MA,YR2007,9.161209672689438,0
ARM,SE.LPV.PRIM.LPSEV,YR2007,5.574939615952316,0
ARM,SE.LPV.PRIM.LPSEV.FE,YR2007,5.416723421609495,0
ARM,SE.LPV.PRIM.LPSEV.MA,YR2007,5.686814702167758,0
ARM,SE.LPV.PRIM.MA,YR2007,32.76261520385742,0
ARM,SE.LPV.PRIM.SD,YR2007,9.156997680664063,0
ARM,SE.LPV.PRIM.SD.FE,YR2007,9.349411010742188,0
ARM,SE.LPV.PRIM.SD.MA,YR2007,8.988319396972656,0
ARM,SE.LPV.POP.0516,YR2011,439944.5,0
ARM,SE.LPV.POP.0516.FE,YR2011,208667.5,0
ARM,SE.LPV.POP.0516.MA,YR2011,231277,0
ARM,SE.LPV.POP.10,YR2011,37252.5,0
ARM,SE.LPV.POP.10.FE,YR2011,17611.5,0
ARM,SE.LPV.POP.10.MA,YR2011,19641,0
ARM,SE.LPV.POP.1014,YR2011,171937,0
ARM,SE.LPV.POP.1014.FE,YR2011,81522,0
ARM,SE.LPV.POP.1014.MA,YR2011,90415,0
ARM,SE.LPV.POP.9PLUS,YR2011,75915,0
ARM,SE.LPV.POP.9PLUS.FE,YR2011,35882,0
ARM,SE.LPV.POP.9PLUS.MA,YR2011,40033,0
ARM,SE.LPV.POP.PRIM,YR2011,196742,0
ARM,SE.LPV.POP.PRIM.FE,YR2011,93031,0
ARM,SE.LPV.POP.PRIM.MA,YR2011,103711,0
ARM,SE.LPV.PRIM,YR2011,47.58390808105469,0
ARM,SE.LPV.PRIM.FE,YR2011,46.64026260375977,0
ARM,SE.LPV.PRIM.LD,YR2011,42.30035400390625,0
ARM,SE.LPV.PRIM.LD.FE,YR2011,41.13690948486328,0
ARM,SE.LPV.PRIM.LD.MA,YR2011,43.34774780273438,0
ARM,SE.LPV.PRIM.LDGAP,YR2011,.1668255925178528,0
ARM,SE.LPV.PRIM.LDGAP.FE,YR2011,.1593997776508331,0
