countrycode,cty_or_agg,year,indicator,value,value_metadata,countryname,regionname
ARE,cty,2016,SE.LPV.PRIM.LD,32.42877578735352,LD = PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LD.FE,26.02907180786133,LD = PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LD.MA,38.49951553344727,LD = PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDGAP,.1937659084796906,LDGAP: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDGAP.FE,.1637322008609772,LDGAP: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDGAP.MA,.2130344659090042,LDGAP: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDSEV,.0583368316292763,LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDSEV.FE,.0437535271048546,LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LDSEV.MA,.0676929727196693,LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPGAP,1.450647622346878,LPGAP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPGAP.FE,1.420613914728165,LPGAP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPGAP.MA,1.469916179776192,LPGAP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPSEV,5.849480679354165,LPSEV = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPSEV.FE,4.391150226911996,LPSEV = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.LPSEV.MA,6.785094788393471,LPSEV = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.MA,39.27250289916992,LP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.SD,1.256881713867188,SD = ANER; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.SD.FE,1.256881713867188,SD = ANER; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2016,SE.LPV.PRIM.SD.MA,1.256881713867188,SD = ANER; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.0516,985702.5,Population Age 0516 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.0516.FE,486507.5,Population Age 0516 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.0516.MA,499195,Population Age 0516 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.10,89040.5,Population Age 10 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.10.FE,42306.5,Population Age 10 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.10.MA,46734,Population Age 10 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.1014,371528,Population Age 1014 for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.1014.FE,185088,Population Age 1014 for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.1014.MA,186440,Population Age 1014 for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.9PLUS,265931.5,Population Age 9plus for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.9PLUS.FE,126925,Population Age 9plus for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.9PLUS.MA,139006.5,Population Age 9plus for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.PRIM,567881,Population Age primary for Reference Year 2019; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.PRIM.FE,273699,Population Age primary for Reference Year 2019; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.POP.PRIM.MA,294182,Population Age primary for Reference Year 2019; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM,25.91624641418457,LP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.FE,21.36670112609863,LP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LD,24.9732494354248,LD = PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LD.FE,20.36579322814941,LD = PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LD.MA,29.80433654785156,LD = PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDGAP,.2305953651666641,LDGAP: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDGAP.FE,.2016070038080215,LDGAP: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDGAP.MA,.2513657510280609,LDGAP: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDSEV,.0811645984649658,LDSEV: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDSEV.FE,.0637668445706367,LDSEV: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LDSEV.MA,.0936295837163925,LDSEV: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LPGAP,1.487477079033852,LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LPGAP.FE,1.458488717675209,LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
